"site number","site location","cluster","site acronym","date","geosmin (ng/L)","Conductance (us/cm)","TP (ug/L)","DOC (mg/L)","UVA (cm-1)","Suva(L/mg-m)","TDN (mg/L)","MIB (ng/L)"
"APA1A","Apache Lake, upper","srp","Apache, eppi, upper",2012-02-15,0.79,1102,62,5.5,0.03,0.8,0.3,0.54
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",2012-02-15,0,1114,14,3.8,0.03,0.8,0.3,6.5
"APA2A","Apache Lake, lower","srp","Apache, eppi, lower",2012-02-15,1,1202,10,5.5,0.06,1.2,0.4,0.7
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",2012-02-15,1,1101,18,3.9,0.03,0.8,0.4,0.6
"Can1A","Canyon Lake, upper","srp","Canyon, eppi, upper",2012-02-15,0.79,1102,62,3.8,0.03,0.8,0.3,1.1
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",2012-02-15,13.87,1095,28,4.6,0.03,0.7,0.5,12.76
"Can2A","Canyon Lake, lower","srp","Canyon, eppi, lower",2012-02-15,9.68,1097,21.6,3.9,0.03,0.8,0.4,8.4
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",2012-02-15,2,1096,15.6,4.4,0.03,0.7,0.5,25.2
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, eppi, upper",2012-02-15,1.3,1387,16.8,3.7,0.03,0.8,0.3,1
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",2012-02-15,1.11,1393,7.2,3.6,0.03,0.8,0.3,1.64
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, eppi, lower",2012-02-15,1.44,1352,5.2,3.6,0.03,0.8,0.3,0.86
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",2012-02-15,1.1,1491,10,3.7,0.8,1,0.4,1
"APA1A","Apache Lake, upper","srp","Apache, eppi, upper",2012-05-16,4.2,993,28.2,6.3,0.1,1.2,0.6,4.5
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",2012-05-16,NA,1007,19,4,0.1,1.7,0.4,NA
"APA2A","Apache Lake, lower","srp","Apache, eppi, lower",2012-05-16,0,NA,11.8,4.1,0.1,1.7,0.3,2.9
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",2012-05-16,NA,NA,9,3.8,0.1,1.8,0.4,NA
"Can1A","Canyon Lake, upper","srp","Canyon, eppi, upper",2012-05-16,0,1005,14.6,4.5,0.1,1.7,0.5,2.2
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",2012-05-16,4.7,1009,14.4,6.5,0.1,1.2,1.1,3.9
"Can2A","Canyon Lake, lower","srp","Canyon, eppi, lower",2012-05-16,NA,1009,11.4,3.9,0.1,1.8,0.4,NA
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",2012-05-16,NA,1007,13.8,3.8,0.1,1.8,0.4,NA
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, eppi, upper",2012-05-16,NA,1235,NA,NA,NA,NA,NA,NA
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",2012-05-16,NA,1255,NA,NA,NA,NA,NA,NA
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, eppi, lower",2012-05-16,NA,1229,NA,NA,NA,NA,NA,NA
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",2012-05-16,1.1,1491,10,3.7,0.03,0.8,0.4,1
"APA1A","Apache Lake, upper","srp","Apache, eppi, upper",2012-08-15,0,1203,20,5.48,0.06,1.1,0.42,6.5
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",2012-08-15,0,1265,20,4.04,0.07,1.6,0.44,0
"APA2A","Apache Lake, lower","srp","Apache, eppi, lower",2012-08-15,0,1202,10,5.46,0.06,1.2,0.37,2.8
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",2012-08-15,0,1206,10,4.19,0.07,1.6,0.41,0
"Can1A","Canyon Lake, upper","srp","Canyon, eppi, upper",2012-08-15,0,1199,30,4,0.07,1.7,0.4,24.2
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",2012-08-15,0,1204,40,4.12,0.07,1.6,0.45,14.7
"Can2A","Canyon Lake, lower","srp","Canyon, eppi, lower",2012-08-15,2,1204,30,4.09,0.07,1.7,0.31,25.2
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",2012-08-15,0,1209,30,3.63,0.06,1.7,0.38,14.3
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, eppi, upper",2012-08-15,0,1579,20,4.44,0.058,1.3,0.44,35.4
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",2012-08-15,0,1637,20,4.59,0.06,1.4,0.41,56.8
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, eppi, lower",2012-08-15,0,1393,10,4.53,0.05,1.1,0.43,15.9
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",2012-08-15,0,1300,10,3.58,0.06,1.8,0.33,0
"APA1A","Apache Lake, upper","srp","Apache, eppi, upper",2012-11-15,2.54073602787457,1308,13.7,3.72408467394545,0.061,1.63798638701128,0.352774076833515,4.62322061327305
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",2012-11-15,2.19610819449601,1303,7.6,3.74348127847983,0.061,1.62949926718403,0.361161634673012,4.51216421018392
"APA2A","Apache Lake, lower","srp","Apache, eppi, lower",2012-11-15,1.14326458702235,1290,9.8,3.67037099985025,0.061,1.66195733353628,0.345737535021856,3.62857676954784
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",2012-11-15,1.12318917925272,1290,12.3,3.75392560399834,0.061,1.62496560760363,0.395837712720869,3.82637065534161
"Can1A","Canyon Lake, upper","srp","Canyon, eppi, upper",2012-11-15,1.97639400946178,1277,10.5,4.50591704133114,0.063,1.39816156005812,0.374728087285892,8.93172267472329
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",2012-11-15,1.38528478068949,1279,9.9,3.74049718547454,0.065,1.73773690439908,0.498514930836601,7.82764368926794
"Can2A","Canyon Lake, lower","srp","Canyon, eppi, lower",2012-11-15,1.59496126183891,1277,18.2,3.58681639570216,0.063,1.75643225216347,0.338926162548169,8.74446698776281
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",2012-11-15,1.38416948025784,1277,6.2,3.55995955865456,0.062,1.74159281807775,0.349340244429425,7.46772366757764
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, eppi, upper",2012-11-15,0.595652075084246,1688,7.9,3.43313560592978,0.059,1.71854557385074,0.293329371608618,2.69554085746332
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",2012-11-15,0.595652075084246,1696,4.2,3.41821514090334,0.059,1.72604700312714,0.309597856277174,2.36804606295233
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, eppi, lower",2012-11-15,0.595652075084246,1573,2.5,3.43761174543771,0.058,1.68721787959259,0.269067375442017,2.47018552856715
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",2012-11-15,1.24698752716541,1592,-0.1,3.36599351331078,0.058,1.72311680847392,0.5035,2.27725542685028
"APA1A","Apache Lake, upper","srp","Apache, eppi, upper",2013-02-06,0,1338,40,4.43,0.072,1.62528216704289,0.39,0.918860334838584
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",2013-02-06,0,1328,40,4.19,0.062,1.47971360381862,0.433,0.918860334838584
"APA2A","Apache Lake, lower","srp","Apache, eppi, lower",2013-02-06,0,1306,50,3.5,0.06,1.71428571428571,0.397,0.918860334838584
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",2013-02-06,0,1326,40,4.26,0.058,1.36150234741784,0.408,0.918860334838584
"Can1A","Canyon Lake, upper","srp","Canyon, eppi, upper",2013-02-06,0.930855679510113,1152,50,5.21,0.102,1.95777351247601,1.169,2.04863533477319
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",2013-02-06,0,1289,50,3.85,0.066,1.71428571428571,0.5521,1.75616604164446
"Can2A","Canyon Lake, lower","srp","Canyon, eppi, lower",2013-02-06,1.10929158536224,1149,50,4.82,0.102,2.11618257261411,0.6636,2.11362851102402
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",2013-02-06,0,1279,30,3.82,0.066,1.72774869109948,0.464,1.72436087028768
