"site number","site location","cluster","site acronym","date","longitude","latitude","altitude (ft)"
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett",1999-08-16,-111.704666666667,33.9603333333333,1757
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",1999-08-16,-111.09375,34,1750
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",1999-08-16,-111.09375,34,1750
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett",1999-08-16,-111.64325,33.8384,1554
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",1999-08-17,-111.573933333333,33.5555833333333,1493
"R11","CAP Canal at Cross-connect","cap","cap @ x con",1999-08-17,-111.693383333333,33.5143,1503
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",1999-08-17,-111.69315,33.5170333333333,1761
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",1999-08-17,-111.700466666667,33.5156833333333,1761
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",1999-08-17,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",1999-08-17,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro",1999-08-17,-111.4575,33.5558166666667,1493
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",1999-08-17,-111.53715,33.56755,1493
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",1999-08-17,-111.53715,33.56755,1493
"R1","CAP canal above Waddell Canal","cap","cap-siphon",1999-08-18,-112.286233333333,33.78155,1553
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",1999-08-18,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",1999-08-18,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",1999-08-18,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",1999-08-18,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",1999-08-18,-112.270216666667,33.85175,2000
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",1999-08-18,-112.270216666667,33.85175,2000
"R3","Waddell Canal","cap","waddell canal",1999-08-18,-112.257033333333,33.7982833333333,1715
"R4","Cap Canal at 7th St.","cap","cap @ 7th st",1999-08-18,-112.065583333333,33.7013166666667,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",1999-08-25,NA,NA,NA
"R25","Verde River at Beeline","az canal","az canal - verde river @ beeline",2000-10-28,NA,NA,NA
"Pima","AZ Canal at Pima Rd","az canal","az canal - pima",2002-07-01,NA,NA,NA
"R21","AZ Canal - Central Avenue","az canal","az canal - cent",2002-07-01,NA,NA,NA
"R22","AZ Canal at 56th","az canal","az canal - 56th st",2002-07-01,NA,NA,NA
"Hav","Lake Havasu","reservoir","lake havasu",2003-01-14,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","south tempe canals - head of the tempe canal",2003-01-14,NA,NA,NA
"SOCA","South Canal below CAP Cross-connect","srp","south tempe canals - below CAP Cross-connect",2003-01-14,NA,NA,NA
"HOC","Head of the Consolidated canal","az canal","az canal- head of the consolidated canal",2011-10-31,NA,NA,NA
"MOC","Middle of the Consolidated canal","az canal","az canal - middle of the consolidated canal",2011-10-31,NA,NA,NA
