attributeName,formatString,unit,numberType,definition,attributeDefinition,columnClasses,minimum,maximum
site number,,,,"site number or name (A designates epilimnion, B hypolimnion)","site number or name (A designates epilimnion, B hypolimnion)",factor,,
site location,,,,site location description,site location description,character,,
Cluster,,,,,source water,factor,,
site acronym,,,,,site number or name,factor,,
date,YYYY-MM-DD,,,,sample collection date,Date,,
sample type,,,,,type of water sample collected (if not a field sample),factor,,
conductance (uS/cm),,microsiemensPerCentimeter,real,,specific conductance,numeric,0,9009
chl A (ug/L),,microgramsPerLiter,real,,chlorophyll A concentration,numeric,0,66.9
phaeophytin (ug/L),,microgramsPerLiter,real,,phaeophytin concentration,numeric,0,14.35125
phaeophytin chl A (ug/L),,microgramsPerLiter,real,,chlorophyll A concentration corrected for phaeophytin,numeric,0,71.423
chlorophyta (organisms/ml),,numberPerMilliliter,whole,,Chlorophyta concentration,numeric,0,5818
cyanophyta (organisms/ml),,numberPerMilliliter,whole,,Cyanophyta concentation,numeric,0,439
bacillariophyta (organisms/ml),,numberPerMilliliter,whole,,Bacillariophyta concentration,numeric,0,5030
total (organisms/ml),,numberPerMilliliter,whole,,"combined concentration of Chlorophyta, Cyanophyta, and Bacillariophyta",numeric,0,5919
algae comments,,,,comment(s) about site conditions or sampling details,comment(s) about site conditions or sampling details,character,,
