attributeName,formatString,unit,numberType,definition,attributeDefinition,columnClasses,minimum,maximum
site number,,,,"site number or name (A designates epilimnion, B hypolimnion)","site number or name (A designates epilimnion, B hypolimnion)",character,,
site location,,,,site location description,site location description,character,,
Cluster,,,,,source water,factor,,
site acronym,,,,site number or name,site number or name,character,,
date,YYYY-MM-DD,,,,sample collection date,Date,,
sample type,,,,type of water sample collected (if not a field sample),type of water sample collected (if not a field sample),character,,
MIB (ng/L) ASU,,nanogramsPerLiter,real,,2-methyisoborneol,numeric,,
Geosmin  (ng/L) ASU,,nanogramsPerLiter,real,,geosmin,numeric,,
Beta-cyclocitral (ng/L),,nanogramsPerLiter,real,,beta-Cyclocitral,numeric,,
IPMP Recovery (%),,dimensionless,real,,recovery of 2-isopropyl-3-methoxy pyrazine (IPMP used as an internal standard),numeric,,
MIB (ng/L) Phoenix,,nanogramsPerLiter,real,,MIB as measured by City of Phoenix officials for methods comparison,numeric,,
Geosmin  (ng/L) Phoenix,,nanogramsPerLiter,real,,geosmin as measured by City of Phoenix officials for methods comparison,numeric,,
comments,,,,comment(s) about site conditions or sampling details,comment(s) about site conditions or sampling details,character,,
