attributeName,formatString,unit,numberType,definition,attributeDefinition,columnClasses,minimum,maximum
site number,,,,"site number or name (A designates epilimnion, B hypolimnion)","site number or name (A designates epilimnion, B hypolimnion)",character,,
site location,,,,site location description,site location description,character,,
Cluster,,,,,source water,factor,,
site acronym,,,,site number or name,site number or name,character,,
date,YYYY-MM-DD,,,,sample collection date,Date,,
sample type,,,,type of water sample collected (if not a field sample),type of water sample collected (if not a field sample),character,,
conductance (uS/cm),,microsiemensPerCentimeter,real,,specific conductance,numeric,,
chl A (ug/L),,microgramsPerLiter,real,,chlorophyll A concentration,numeric,,
phaeophytin (ug/L),,microgramsPerLiter,real,,phaeophytin concentration,numeric,,
phaeophytin chl A (ug/L),,microgramsPerLiter,real,,chlorophyll A concentration corrected for phaeophytin,numeric,,
chlorophyta (organisms/ml),,numberPerMilliliter,real,,Chlorophyta concentration,numeric,,
cyanophyta (organisms/ml),,numberPerMilliliter,real,,Cyanophyta concentation,numeric,,
bacillariophyta (organisms/ml),,numberPerMilliliter,real,,Bacillariophyta concentration,numeric,,
total (organisms/ml),,numberPerMilliliter,real,,"combined concentration of Chlorophyta, Cyanophyta, and Bacillariophyta",numeric,,
algae comments,,,,comment(s) about site conditions or sampling details,comment(s) about site conditions or sampling details,character,,
