attributeName,formatString,unit,numberType,definition,attributeDefinition,columnClasses,minimum,maximum
site number,,,,"site number or name (A designates epilimnion, B hypolimnion)","site number or name (A designates epilimnion, B hypolimnion)",character,,
site location,,,,site location description,site location description,character,,
Cluster,,,,,source water,factor,,
site acronym,,,,site number or name,site number or name,character,,
date,YYYY-MM-DD,,,,sample collection date,Date,,
sample type,,,,type of water sample collected (if not a field sample),type of water sample collected (if not a field sample),character,,
TOC (mg/L),,milligramsPerLiter,real,,total organic carbon,numeric,,
DOC (mg/L),,milligramsPerLiter,real,,dissolved organic carbon,numeric,,
UVA (cm-1),,perCentimeter,real,,UV absorbance measured at 254 nanometers,numeric,,
suva (L/mg-m),,literPerMilligramMeter,real,,specific ultraviolet absorbance,numeric,,
peak int,,dimensionless,real,,intensity of peak,numeric,,
peak int WL,,nanometer,real,,wavelength at the highest peak intensity,numeric,,
int at 450,,dimensionless,real,,intensity at 450 nanometers,numeric,,
int at 460,,dimensionless,real,,intensity at 460 nanometers,numeric,,
int at 500,,dimensionless,real,,intensity at 500 nanometers,numeric,,
FI (450/500),,dimensionless,real,,fluorescence ratio of 450/500,numeric,,
docm comments,,,,comment(s) about site conditions or sampling details,comment(s) about site conditions or sampling details,character,,
