ID,Site Number,Site location,Cluster,Site Acronym,month/date,Arsenic (ug/L),Perchlorate (ug/L)
613,"R3","Waddell Canal","cap","waddell canal","09/13/05 00:00:00","4.0",
614,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","09/13/05 00:00:00","4.5",
615,"R11","CAP Canal at Cross-connect","cap","cap @ x con","09/13/05 00:00:00","2.7",
616,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","09/13/05 00:00:00","5.6",
617,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","09/13/05 00:00:00","4.7",
618,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","09/13/05 00:00:00","4.9",
619,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","09/13/05 00:00:00","0.0",
620,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","09/13/05 00:00:00","5.0",
621,"R17","Deer Valley WTP treated water","srp","deer valley-treated","09/13/05 00:00:00","0.0",
622,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","09/13/05 00:00:00","5.3",
623,"R19","Val Vista WTP treated water","srp","val vista-treated","09/13/05 00:00:00","0.0",
624,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","09/13/05 00:00:00","5.0",
625,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","09/13/05 00:00:00","5.5",
626,"R25","verde river at beeline highway","verde","verde @ beeline","09/13/05 00:00:00","9.9",
627,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","09/13/05 00:00:00","4.7",
628,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","09/13/05 00:00:00","5.0",
629,"UH In","Union Hills Inlet","cap","Union Hills Inlet","09/13/05 00:00:00","2.1",
630,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","09/13/05 00:00:00","0.0",
631,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","09/13/05 00:00:00","6.0",
632,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","09/13/05 00:00:00","2.7",
633,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","09/13/05 00:00:00","5.2",
634,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","09/13/05 00:00:00","5.3",
635,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","09/13/05 00:00:00","5.3",
636,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","09/13/05 00:00:00","3.0",
637,"Green In","Greenway WTP Inlet","srp","Green In","09/13/05 00:00:00","5.4",
638,"Green Out","Greenway WTP Outlet","srp","Green Out","09/13/05 00:00:00","2.1",
639,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","09/13/05 00:00:00","3.8",
640,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","09/13/05 00:00:00","3.0",
641,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","09/13/05 00:00:00","10.5",
642,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","09/13/05 00:00:00","11.5",
643,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","09/13/05 00:00:00","4.9",
644,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","09/13/05 00:00:00","4.9",
962,"Green Out","Greenway WTP Outlet","srp","Green Out","06/13/06 00:00:00","3.2",
963,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","06/13/06 00:00:00","3.3",
964,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","06/13/06 00:00:00","3.5",
965,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","06/13/06 00:00:00","7.2",
966,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","06/13/06 00:00:00","8.5",
967,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","06/13/06 00:00:00","4.9",
968,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","06/13/06 00:00:00","3.5",
969,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","06/13/06 00:00:00","4.3",
970,"R20","Verde River at Tangle","verde","verde abv horseshoe","06/13/06 00:00:00","19.1",
971,"Havasu 1","Havasu lake Sample",,"Havasu 1","06/13/06 00:00:00","2.1",
972,"Havasu 2","Havasu lake Sample",,"Havasu 2","06/13/06 00:00:00",,
973,"R3","Waddell Canal","cap","waddell canal","07/11/06 00:00:00","3.3",
974,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","07/11/06 00:00:00","4.9",
975,"R11","CAP Canal at Cross-connect","cap","cap @ x con","07/11/06 00:00:00","2.9",
976,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","07/11/06 00:00:00","3.4",
977,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","07/11/06 00:00:00","4.2",
978,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","07/11/06 00:00:00","4.7",
979,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","07/11/06 00:00:00","0.0",
980,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","07/11/06 00:00:00","4.1",
981,"R17","Deer Valley WTP treated water","srp","deer valley-treated","07/11/06 00:00:00","0",
982,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","07/11/06 00:00:00","4.5",
983,"R19","Val Vista WTP treated water","srp","val vista-treated","07/11/06 00:00:00","0",
984,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","07/11/06 00:00:00","5",
985,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","07/11/06 00:00:00","4.6",
986,"R25","verde river at beeline highway","verde","verde @ beeline","07/11/06 00:00:00",,
987,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","07/11/06 00:00:00","4.4",
988,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","07/11/06 00:00:00","4.6",
989,"UH In","Union Hills Inlet","cap","Union Hills Inlet","07/11/06 00:00:00","3.0",
990,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","07/11/06 00:00:00","0.0",
991,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","07/11/06 00:00:00","4.5",
992,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","07/11/06 00:00:00","0.0",
993,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","07/11/06 00:00:00","4.9",
994,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","07/11/06 00:00:00","5.1",
995,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","07/11/06 00:00:00","5.1",
996,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","07/11/06 00:00:00","3.1",
997,"Green In","Greenway WTP Inlet","srp","Green In","07/11/06 00:00:00","5.2",
998,"Green Out","Greenway WTP Outlet","srp","Green Out","07/11/06 00:00:00","4.2",
999,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","07/11/06 00:00:00","3.6",
1000,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","07/11/06 00:00:00","2.6",
1001,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","07/11/06 00:00:00","12.5",
1002,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","07/11/06 00:00:00","4.2",
1003,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","07/11/06 00:00:00","4.1",
1004,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","07/11/06 00:00:00","4.1",
1005,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","07/11/06 00:00:00","7.4",
1006,"R20","Verde River at Tangle","verde","verde abv horseshoe","07/11/06 00:00:00","19.4",
1007,"Havasu 1","Havasu lake Sample",,"Havasu 1","07/11/06 00:00:00","2.0",
1008,"Havasu 2","Havasu lake Sample",,"Havasu 2","07/11/06 00:00:00",,
1009,"R3","Waddell Canal","cap","waddell canal","08/14/06 00:00:00","3.4",
1010,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","08/14/06 00:00:00","5.0",
1011,"R11","CAP Canal at Cross-connect","cap","cap @ x con","08/14/06 00:00:00",,
1012,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","08/14/06 00:00:00","3.4",
1013,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","08/14/06 00:00:00","4.6",
1014,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","08/14/06 00:00:00","4.4",
1015,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","08/14/06 00:00:00","0.0",
1016,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","08/14/06 00:00:00","5.3",
1017,"R17","Deer Valley WTP treated water","srp","deer valley-treated","08/14/06 00:00:00","0",
1018,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","08/14/06 00:00:00","4.3",
1019,"R19","Val Vista WTP treated water","srp","val vista-treated","08/14/06 00:00:00","0",
1020,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","08/14/06 00:00:00","5.2",
1021,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","08/14/06 00:00:00","4.7",
1022,"R25","verde river at beeline highway","verde","verde @ beeline","08/14/06 00:00:00","9.4",
1023,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","08/14/06 00:00:00","4.8",
1024,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","08/14/06 00:00:00","5.3",
1025,"UH In","Union Hills Inlet","cap","Union Hills Inlet","08/14/06 00:00:00","3.5",
1026,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","08/14/06 00:00:00","0.0",
1027,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","08/14/06 00:00:00","5.0",
764,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","01/17/06 00:00:00","4.6",
765,"R17","Deer Valley WTP treated water","srp","deer valley-treated","01/17/06 00:00:00","0.0",
766,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","01/17/06 00:00:00","6.5",
767,"R19","Val Vista WTP treated water","srp","val vista-treated","01/17/06 00:00:00","0.0",
768,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","01/17/06 00:00:00","3.7",
769,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","01/17/06 00:00:00","4.5",
770,"R25","verde river at beeline highway","verde","verde @ beeline","01/17/06 00:00:00","6.9",
771,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","01/17/06 00:00:00","4.6",
772,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","01/17/06 00:00:00","3.9",
773,"UH In","Union Hills Inlet","cap","Union Hills Inlet","01/17/06 00:00:00","0.0",
774,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","01/17/06 00:00:00","0.0",
775,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","01/17/06 00:00:00","4.8",
776,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","01/17/06 00:00:00","2.4",
777,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","01/17/06 00:00:00","5.8",
778,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","01/17/06 00:00:00","5.1",
779,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","01/17/06 00:00:00",,
780,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","01/17/06 00:00:00",,
781,"Green In","Greenway WTP Inlet","srp","Green In","01/17/06 00:00:00",,
782,"Green Out","Greenway WTP Outlet","srp","Green Out","01/17/06 00:00:00",,
783,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","01/17/06 00:00:00","3.0",
784,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","01/17/06 00:00:00","3.2",
785,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","01/17/06 00:00:00","9.4",
786,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","01/17/06 00:00:00","9.5",
787,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","01/17/06 00:00:00","3.8",
788,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","01/17/06 00:00:00","3.4",
789,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","01/17/06 00:00:00","3.8",
790,"R20","Verde River at Tangle","verde","verde abv horseshoe","01/17/06 00:00:00","17.4",
791,"Havasu 1","Havasu lake Sample",,"Havasu 1","01/17/06 00:00:00","0.0",
792,"Havasu 2","Havasu lake Sample",,"Havasu 2","01/17/06 00:00:00",,
793,"R3","Waddell Canal","cap","waddell canal","02/13/06 00:00:00","0.0",
794,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","02/13/06 00:00:00","3.8",
795,"R11","CAP Canal at Cross-connect","cap","cap @ x con","02/13/06 00:00:00",,
796,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","02/13/06 00:00:00","10.3",
797,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","02/13/06 00:00:00","9.9",
798,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","02/13/06 00:00:00","11.0",
799,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","02/13/06 00:00:00","3.1",
800,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","02/13/06 00:00:00","9.2",
