ID,site number,site location,cluster name,site acronym,date,month,sample type,TOC (mg/L),DOC (mg/L),UVA (cm-1),suva (L/mg-m),peak int,peak int WL,int at 450,int at 460,int at 500,FI (450/500),docm comments,Field1
8.1600000000000000e+02,"R20","Verde River at Tangle","verde","verde abv horseshoe","01/01/02 00:00:00","01/01/02 00:00:00",,,,,,2.1129999999999999e+01,4.4080000000000001e+02,2.0280000000000001e+01,1.8640000000000001e+01,1.1440000000000000e+01,1.7700000000000000e+00,,
1.1830000000000000e+04,"HAV","Havasu lake Sample",,"Havasu  ","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
1.1831000000000000e+04,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
1.1832000000000000e+04,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
1.1833000000000000e+04,"R20","Verde River at Tangle","verde","verde abv horseshoe","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
1.1834000000000000e+04,"R25","verde river at beeline highway","verde","verde @ beeline","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
1.1835000000000000e+04,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","02/25/20 00:00:00","02/25/20 00:00:00",,,4.4000000000000004e+00,1.2600000000000000e-01,2.7999999999999998e+00,,,,,,,,
1.1836000000000000e+04,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","02/25/20 00:00:00","02/25/20 00:00:00",,,5.2000000000000002e+00,1.5200000000000000e-01,2.8999999999999999e+00,,,,,,,,
1.1837000000000000e+04,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","02/25/20 00:00:00","02/25/20 00:00:00",,,7.0000000000000000e+00,2.3499999999999999e-01,3.2999999999999998e+00,,,,,,,,
1.1838000000000000e+04,"R9A-DUP","Saguaro Lake near inlet","salt","saguaro-epi dup","02/25/20 00:00:00","02/25/20 00:00:00",,,5.7999999999999998e+00,2.3100000000000001e-01,4.0000000000000000e+00,,,,,,,,
1.1839000000000000e+04,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","02/25/20 00:00:00","02/25/20 00:00:00",,,6.2999999999999998e+00,1.3200000000000001e-01,2.1000000000000001e+00,,,,,,,,
1.1840000000000000e+04,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","02/25/20 00:00:00","02/25/20 00:00:00",,,5.4000000000000004e+00,1.2900000000000000e-01,2.3999999999999999e+00,,,,,,,,
1.1841000000000000e+04,"SRNR","Salt River near Roosevelt","salt","SRNR","02/25/20 00:00:00","02/25/20 00:00:00",,,2.7999999999999998e+00,,,,,,,,,,
1.1842000000000000e+04,"UH IN","Union Hills Inlet","cap","Union Hills Inlet","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
1.1843000000000000e+04,"UH OUT","Union Hills Treated Water","cap","Union Hills Outlet","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
1.1844000000000000e+04,"NP IN","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
1.1845000000000000e+04,"NP OUT","Tempe's North Plant treated water","tempe","north plant outlet","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
1.1846000000000000e+04,"SPT IN","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","02/25/20 00:00:00","02/25/20 00:00:00",,,3.2000000000000002e+00,2.2400000000000000e-01,7.0289999999999999e+00,,,,,,,,
1.1847000000000000e+04,"SPT OUT","Tempe's South Plant treated water","tempe","STP Out","02/25/20 00:00:00","02/25/20 00:00:00",,,1.8000000000000000e+00,1.0900000000000000e-01,6.0560000000000000e+00,,,,,,,,
1.1848000000000000e+04,"GR IN","Greenway WTP Inlet","srp","Green In","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
1.1849000000000000e+04,"GR OUT","Greenway WTP Outlet","srp","Green Out","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
8.5600000000000000e+02,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","03/01/02 00:00:00","03/01/02 00:00:00",,1.0990000000000000e+01,4.0850000000000000e+00,6.5699999999999995e-02,1.6000000000000001e+00,3.6619999999999997e+01,4.5013999999999999e+02,3.6619999999999997e+01,3.5500000000000000e+01,2.4129999999999999e+01,1.5200000000000000e+00,,
1.1850000000000000e+04,"GL IN","Glendale WTP Inlet",,"Glen In","02/25/20 00:00:00","02/25/20 00:00:00",,,3.2000000000000002e+00,2.9999999999999999e-02,9.3799999999999994e-01,,,,,,,,
1.1851000000000000e+04,"GL OUT","Glendale WTP Outlet",,"Glen Out","02/25/20 00:00:00","02/25/20 00:00:00",,,1.8000000000000000e+00,4.7000000000000000e-02,2.6110000000000002e+00,,,,,,,,
1.1852000000000000e+04,"AN IN","Anthem WTP inlet",,"anthem","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
1.1853000000000000e+04,"AN OUT","Anthem WTP outlet",,"anthem","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
1.1854000000000000e+04,"R14","AZ Canal - Inlet to 24th St WTP","srp","az canal @ 24th St","02/25/20 00:00:00","02/25/20 00:00:00",,,3.7999999999999998e+00,9.5000000000000001e-02,2.5000000000000000e+00,,,,,,,,
1.1855000000000000e+04,"R15","24th St WTP treated water","srp","24th St -treated","02/25/20 00:00:00","02/25/20 00:00:00",,,3.2999999999999998e+00,3.5999999999999997e-02,1.0910000000000000e+00,,,,,,,,
1.1856000000000000e+04,"CH IN","Chandler WTP inlet",,"chandler","02/25/20 00:00:00","02/25/20 00:00:00",,,3.1000000000000001e+00,9.1999999999999998e-02,2.9680000000000000e+00,,,,,,,,
1.1857000000000000e+04,"CH OUT","Chandler WTP outlet",,"chandler","02/25/20 00:00:00","02/25/20 00:00:00",,,2.7999999999999998e+00,4.4999999999999998e-02,1.6070000000000000e+00,,,,,,,,
1.1858000000000000e+04,"R3","Waddell Canal","cap","waddell canal","02/25/20 00:00:00","02/25/20 00:00:00",,,3.3999999999999999e+00,4.8000000000000001e-02,1.3999999999999999e+00,,,,,,,,
1.1859000000000000e+04,"AN IN","Anthem WTP inlet",,"anthem","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
1.1860000000000000e+04,"UH IN","Union Hills Inlet","cap","Union Hills Inlet","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
1.1861000000000000e+04,"SGPS","Salt Gila",,"Salt Gila","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
1.1862000000000000e+04,"MTO","Mesa Turnout",,"Mesa Turnout","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
1.1863000000000000e+04,"R11","CAP Canal at Cross-connect","cap","cap @ x con","02/25/20 00:00:00","02/25/20 00:00:00",,,3.1000000000000001e+00,5.5000000000000000e-02,,,,,,,,,
1.1864000000000000e+04,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","02/25/20 00:00:00","02/25/20 00:00:00",,,3.2999999999999998e+00,8.8999999999999996e-02,2.7000000000000002e+00,,,,,,,,
