ID,site number,site location,cluster name,site acronym,date,month,depth (m),T (C),DO (mg/l),pH,Secchi Disk (m),samples collected,sample type,comments
6.8020000000000000e+03,"R2","Lake Pleasant integrated sample","cap","pleasant","12/06/05 00:00:00","12/06/05 00:00:00",4.5600000000000001e+01,1.5000000000000000e+01,8.6999999999999993e+00,,,,,
6.8030000000000000e+03,"R2","Lake Pleasant integrated sample","cap","pleasant","12/06/05 00:00:00","12/06/05 00:00:00",4.7600000000000001e+01,1.5000000000000000e+01,8.6999999999999993e+00,,,,,
6.8040000000000000e+03,"R2","Lake Pleasant integrated sample","cap","pleasant","12/06/05 00:00:00","12/06/05 00:00:00",4.9299999999999997e+01,1.5000000000000000e+01,8.6999999999999993e+00,,,,,
6.8050000000000000e+03,"R2","Lake Pleasant integrated sample","cap","pleasant","12/06/05 00:00:00","12/06/05 00:00:00",5.1700000000000003e+01,1.5000000000000000e+01,8.5999999999999996e+00,,,,,
6.8060000000000000e+03,"R2","Lake Pleasant integrated sample","cap","pleasant","12/06/05 00:00:00","12/06/05 00:00:00",5.4200000000000003e+01,1.5000000000000000e+01,8.4000000000000004e+00,,,,,
6.8070000000000000e+03,"R6A","Bartlett Reservoir near outlet","verde","bartlett-0m","12/06/05 00:00:00","12/06/05 00:00:00",0.0000000000000000e+00,1.5500000000000000e+01,7.5000000000000000e+00,,1.2200000000000000e+00,,,
6.8080000000000000e+03,"R6-5","Bartlett Reservoir near outlet","verde","bartlett-5m","12/06/05 00:00:00","12/06/05 00:00:00",5.0000000000000000e+00,1.5600000000000000e+01,9.0999999999999996e+00,,,,,
6.8090000000000000e+03,"R6-10","Bartlett Reservoir near outlet","verde","bartlett-10m","12/06/05 00:00:00","12/06/05 00:00:00",1.0000000000000000e+01,1.5600000000000000e+01,9.1999999999999993e+00,,,,,
6.8100000000000000e+03,"R6-15","Bartlett Reservoir near outlet","verde","bartlett-15m","12/06/05 00:00:00","12/06/05 00:00:00",1.5000000000000000e+01,1.5600000000000000e+01,9.0999999999999996e+00,,,,,
6.8110000000000000e+03,"R6-20","Bartlett Reservoir near outlet","verde","bartlett-20m","12/06/05 00:00:00","12/06/05 00:00:00",2.0000000000000000e+01,1.5600000000000000e+01,9.0000000000000000e+00,,,,,
6.8120000000000000e+03,"R6-25","Bartlett Reservoir near outlet","verde","bartlett-25m","12/06/05 00:00:00","12/06/05 00:00:00",2.5000000000000000e+01,1.5600000000000000e+01,8.8000000000000007e+00,,,,,
6.8130000000000000e+03,"R6-30","Bartlett Reservoir near outlet","verde","bartlett-30m","12/06/05 00:00:00","12/06/05 00:00:00",3.0000000000000000e+01,1.5600000000000000e+01,8.6999999999999993e+00,,,,,
6.8140000000000000e+03,"R6-35","Bartlett Reservoir near outlet","verde","bartlett-35m","12/06/05 00:00:00","12/06/05 00:00:00",3.5000000000000000e+01,1.5500000000000000e+01,7.4000000000000004e+00,,,,,
6.8150000000000000e+03,"R6-40","Bartlett Reservoir near outlet","verde","bartlett-40m","12/06/05 00:00:00","12/06/05 00:00:00",4.0000000000000000e+01,1.5100000000000000e+01,7.0000000000000000e+00,,,,,
6.8160000000000000e+03,"R6-45","Bartlett Reservoir near outlet","verde","bartlett-45m","12/06/05 00:00:00","12/06/05 00:00:00",4.5000000000000000e+01,1.4900000000000000e+01,6.7999999999999998e+00,,,,,
6.8170000000000000e+03,"R6-50","Bartlett Reservoir near outlet","verde","bartlett-50m","12/06/05 00:00:00","12/06/05 00:00:00",5.0000000000000000e+01,,,,,,,
6.8180000000000000e+03,"R9A","Saguaro Lake near inlet","salt","saguaro-0m","12/06/05 00:00:00","12/06/05 00:00:00",0.0000000000000000e+00,6.5999999999999996e+00,1.5800000000000001e+01,,2.7400000000000002e+00,,,
6.8190000000000000e+03,"R9-5","Saguaro Lake near inlet","salt","saguaro-5m","12/06/05 00:00:00","12/06/05 00:00:00",5.0000000000000000e+00,7.7000000000000002e+00,1.5900000000000000e+01,,,,,
6.8200000000000000e+03,"R9-10","Saguaro Lake near inlet","salt","saguaro-10m","12/06/05 00:00:00","12/06/05 00:00:00",1.0000000000000000e+01,7.7999999999999998e+00,1.5900000000000000e+01,,,,,
6.8210000000000000e+03,"R9-15","Saguaro Lake near inlet","salt","saguaro-15m","12/06/05 00:00:00","12/06/05 00:00:00",1.5000000000000000e+01,7.7000000000000002e+00,1.6000000000000000e+01,,,,,
6.8220000000000000e+03,"R9-20","Saguaro Lake near inlet","salt","saguaro-20m","12/06/05 00:00:00","12/06/05 00:00:00",2.0000000000000000e+01,7.5999999999999996e+00,1.6000000000000000e+01,,,,,
6.8230000000000000e+03,"R9-25","Saguaro Lake near inlet","salt","saguaro-25m","12/06/05 00:00:00","12/06/05 00:00:00",2.5000000000000000e+01,7.2000000000000002e+00,1.6000000000000000e+01,,,,,
6.8240000000000000e+03,"R9-30","Saguaro Lake near inlet","salt","saguaro-30m","12/06/05 00:00:00","12/06/05 00:00:00",3.0000000000000000e+01,7.0999999999999996e+00,1.6000000000000000e+01,,,,,
6.8250000000000000e+03,"R9-35","Saguaro Lake near inlet","salt","saguaro-35m","12/06/05 00:00:00","12/06/05 00:00:00",3.5000000000000000e+01,,,,,,,
6.8260000000000000e+03,"R9-40","Saguaro Lake near inlet","salt","saguaro-40m","12/06/05 00:00:00","12/06/05 00:00:00",4.0000000000000000e+01,,,,,,,
6.8270000000000000e+03,"R9-45","Saguaro Lake near inlet","salt","saguaro-45m","12/06/05 00:00:00","12/06/05 00:00:00",4.5000000000000000e+01,,,,,,,
6.8280000000000000e+03,"R9-50","Saguaro Lake near inlet","salt","saguaro-50m","12/06/05 00:00:00","12/06/05 00:00:00",5.0000000000000000e+01,,,,,,,
6.8290000000000000e+03,"R20","Verde River at Tangle","verde","verde abv horseshoe","12/06/05 00:00:00","12/06/05 00:00:00",,,,,,,,
6.6630000000000000e+03,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","10/25/05 00:00:00","10/25/05 00:00:00",,2.1500000000000000e+01,,8.1999999999999993e+00,,,,
6.6640000000000000e+03,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","10/25/05 00:00:00","10/25/05 00:00:00",,2.2100000000000001e+01,,8.3000000000000007e+00,,,,
6.6650000000000000e+03,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","10/25/05 00:00:00","10/25/05 00:00:00",,,,,,,,
6.6660000000000000e+03,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","10/25/05 00:00:00","10/25/05 00:00:00",,,,,,,,
