ID,Site Number,Site location,Cluster,Site Acronym,month/date,Arsenic (ug/L),Perchlorate (ug/L)
613,R3,Waddell Canal,cap,waddell canal,9/13/2005,4.0,
614,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,9/13/2005,4.5,
615,R11,CAP Canal at Cross-connect,cap,cap @ x con,9/13/2005,2.7,
616,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,9/13/2005,5.6,
617,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,9/13/2005,4.7,
618,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,9/13/2005,4.9,
619,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,9/13/2005,0.0,
620,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,9/13/2005,5.0,
621,R17,Deer Valley WTP treated water,srp,deer valley-treated,9/13/2005,0.0,
622,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,9/13/2005,5.3,
623,R19,Val Vista WTP treated water,srp,val vista-treated,9/13/2005,0.0,
624,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,9/13/2005,5.0,
625,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,9/13/2005,5.5,
626,R25,verde river at beeline highway,verde,verde @ beeline,9/13/2005,9.9,
627,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,9/13/2005,4.7,
628,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,9/13/2005,5.0,
629,UH In,Union Hills Inlet,cap,Union Hills Inlet,9/13/2005,2.1,
630,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,9/13/2005,0.0,
631,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,9/13/2005,6.0,
632,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,9/13/2005,2.7,
633,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,9/13/2005,5.2,
634,HTC,Head of the Tempe Canal,tempe,head of tempe canal,9/13/2005,5.3,
635,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,9/13/2005,5.3,
636,SPT Out,Tempe's South Plant treated water,tempe,STP Out,9/13/2005,3.0,
637,Green In,Greenway WTP Inlet,srp,Green In,9/13/2005,5.4,
638,Green Out,Greenway WTP Outlet,srp,Green Out,9/13/2005,2.1,
639,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,9/13/2005,3.8,
640,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,9/13/2005,3.0,
641,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,9/13/2005,10.5,
642,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,9/13/2005,11.5,
643,R9A,Saguaro Lake near inlet,salt,saguaro-epi,9/13/2005,4.9,
644,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,9/13/2005,4.9,
962,Green Out,Greenway WTP Outlet,srp,Green Out,6/13/2006,3.2,
963,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,6/13/2006,3.3,
964,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,6/13/2006,3.5,
965,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,6/13/2006,7.2,
966,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,6/13/2006,8.5,
967,R9A,Saguaro Lake near inlet,salt,saguaro-epi,6/13/2006,4.9,
968,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,6/13/2006,3.5,
969,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,6/13/2006,4.3,
