ID,site number,site location,cluster name,site acronym,date,month,sample type,TOC (mg/L),DOC (mg/L),UVA (cm-1),suva (L/mg-m),Field1,peak int,peak int WL,int at 450,int at 460,int at 500,FI (450/500),docm comments
1,R1,CAP canal above Waddell Canal,cap,cap-siphon,8/18/1999,8/1/1999,,2.87,2.937,0.0445,0.015152,,41.6,446.09,40.74,38.04,21.59,1.88698472,
2,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,8/18/1999,8/1/1999,,3.088,3.114,0.0451,0.014483,,38.94,445.63,37.93,35.51,20.09,1.88800398,
3,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,8/18/1999,8/1/1999,,2.881,2.844,0.0448,0.015752,,44.05,441.09,43.63,40.26,23.27,1.87494628,
4,R3,Waddell Canal,cap,waddell canal,8/18/1999,8/1/1999,,2.716,2.714,0.0444,0.01636,,44.82,446.01,44.53,40.98,23.95,1.85929019,
5,R4,Cap Canal at 7th St.,cap,cap @ 7th st,8/18/1999,8/1/1999,,2.758,2.709,0.0435,0.016058,,45.09,445.15,43.92,41.13,23.6,1.86101695,
6,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,8/16/1999,8/1/1999,,2.75,2.777,0.0793,0.028556,,92.67,446.36,92.45,87.86,52.34,1.7663355,
7,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,8/16/1999,8/1/1999,,1.934,1.845,0.0406,0.022005,,48.65,448.62,48.23,45.52,27.28,1.76796188,
8,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,8/16/1999,8/1/1999,,1.735,1.614,0.0412,0.025527,,51.89,448.74,51.38,48.71,29,1.77172414,
9,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,8/16/1999,8/1/1999,,1.775,1.626,0.0373,0.02294,,47.95,447.02,47.52,44.38,26.25,1.81028571,
10,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,8/17/1999,8/1/1999,,2.748,2.669,0.0514,0.019258,,57.45,449.44,57.35,52.71,30.95,1.85298869,
11,R9A,Saguaro Lake near inlet,salt,saguaro-epi,8/17/1999,8/1/1999,,2.94,2.849,0.0555,0.019481,,62.38,443.24,61.8,57.56,34.07,1.81391253,
12,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,8/17/1999,8/1/1999,,2.913,2.819,0.0553,0.019617,,65.02,440.7,64.43,60.53,35.87,1.79620853,
13,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,8/17/1999,8/1/1999,,2.943,2.711,0.0549,0.020251,,62.98,446.3,62.62,58.61,34.44,1.81823461,
14,R11,CAP Canal at Cross-connect,cap,cap @ x con,8/17/1999,8/1/1999,,2.733,2.613,0.0438,0.016762,,43.73,445.18,42.67,39.6,22.4,1.90491071,
