ID,Miles from Granite Reef Dam,mi from 24th st,site number,Location,Date,MIB (ng/L),Chlor-A, ug/cm2,Total Nitrogen,Dissolved Nitrogen,Total Phosphate,Dissolved Phosphate,Geosmin (ng/L)
1,,,"R4","CAP at 7th ST","06/26/01 00:00:00",,,,,,,
2,,,"R18","South Canal at Val Vista WTP","06/26/01 00:00:00",,,,,,,
3,,,"R19","Val Vista WTP treated water","06/26/01 00:00:00",,,,,,,
4,,,"R10","Salt River below Saguaro Lake","06/26/01 00:00:00",,,,,,,
5,,,"R11","CAP Canal at cross-connect","06/26/01 00:00:00",,,,,,,
6,0,,"R12","AZ Canal above CAP cross-connect","06/26/01 00:00:00",,,,,,,
7,0.5,,"R13","AZ Canal below CAP cross-connect","06/26/01 00:00:00",,,,,,,
8,4,,"Hwy 87","87 Hwy","06/26/01 00:00:00",,,,,,,
9,1.2,,"B1","B1","06/26/01 00:00:00",,,,,,,
10,2.4,,"B2","B2","06/26/01 00:00:00",,,,,,,
11,5.2,,"B3","B3","06/26/01 00:00:00",,,,,,,
12,6.4,,"B4","B4","06/26/01 00:00:00",,,,,,,
13,8.460000000000001,,"Mesa","AZ Canal at Mesa Dr.","06/26/01 00:00:00",,,,,,,
14,12.94,,"Pima","AZ Canal at Pima Rd.","06/26/01 00:00:00",,,,,,,
15,16.88,,"Scotts","AZ Canal at Scottsdale Rd.","06/26/01 00:00:00",,,,,,,
16,18.7,,"R22","AZ Canal - 56th St. (Alma School Road)","06/26/01 00:00:00",,,,,,,
17,21.11,,"44th St.","AZ Canal at 44th Street","06/26/01 00:00:00",,,,,,,
18,,,"32nd St.","AZ Canal at 32nd Street","06/26/01 00:00:00",,,,,,,
19,24.06,0,"24th St.","24th St.","06/26/01 00:00:00",10.6,,,,,,2.8
20,,,"R14","AZ Canal - Inlet to Squaw Peak WTP","06/26/01 00:00:00",10.6,,,,,,2.8
21,,,"R15","Squaw Peak WTP treated water","06/26/01 00:00:00",,,,,,,
22,25.76,1.7,"16th St.","AZ Canal at 16th Street","06/26/01 00:00:00",20.6,,,,,,6.6
23,27.06,3,"Northern","AZ Canal at Northern Avenue","06/26/01 00:00:00",27.9,,,,,,8.800000000000001
24,28.16,4.1,"R21","AZ Canal at Central Av.","06/26/01 00:00:00",39.1,,,,,,10.7
25,29.66,5.6,"19th Av.","AZ Canal at 19th Av.","06/26/01 00:00:00",47.3,,,,,,11.3
26,,,"25th Av.","25th Av.","06/26/01 00:00:00",,,,,,,
27,31,7,"29th Av.","29th Av.","06/26/01 00:00:00",70.7,,,,,,15.5
28,,,"R16","AZ Canal - Inlet to Deer Valley WTP","06/26/01 00:00:00",70.7,,,,,,15.5
29,,,"R17","Deer Valley WTP treated water","06/26/01 00:00:00",,,,,,,
30,34.66,10.5,"51st Av.","51st Av.","06/26/01 00:00:00",60.3,,,,,,18.6
31,37,13.2,"67th Av.","67th Av.","06/26/01 00:00:00",42.9,,,,,,16.4
32,,,"Little Harq p.p.","Little Harq p.p.","06/26/01 00:00:00",,,,,,,
33,,,"Havasu p.p.","Havasu p.p.","06/26/01 00:00:00",,,,,,,
34,,,"R4","CAP at 7th ST","07/03/01 00:00:00",,,,,,,
35,,,"R18","South Canal at Val Vista WTP","07/03/01 00:00:00",,,,,,,
36,,,"R19","Val Vista WTP treated water","07/03/01 00:00:00",,,,,,,
37,,,"R10","Salt River below Saguaro Lake","07/03/01 00:00:00",,,,,,,
38,,,"R11","CAP Canal at cross-connect","07/03/01 00:00:00",,,,,,,
39,0,,"R12","AZ Canal above CAP cross-connect","07/03/01 00:00:00",,,,,,,
