ID,Site Name,Site Location,Cluster Name,Site Acronym,Date,Mib(ng/L),Geosmin(ng/L),TP (ug/L),DOC (mg/L),UVA(cm-1),Suva(L/mg-m),Conductance(us/cm),TDN (mg/L)
2,Can1A,"Canyon Lake, upper",SRP,"Canyon, epi, upper",2/15/2012,1.1,.79,62,3.8,.03,.8,1102,.3
3,Can1B,"Canyon Lake, upper",SRP,"Canyon, hypo, upper",2/15/2012,12.76,13.87,28,4.6,.03,.7,1095,.5
4,Can2A,"Canyon Lake, lower",SRP,"Canyon, epi, lower",2/15/2012,8.40,9.68,21.6,3.9,.03,.8,1097,.4
5,Can2B,"Canyon Lake, lower",SRP,"Canyon, hypo, lower",2/15/2012,25.2,2,15.6,4.4,.03,.7,1096,.5
6,APA1A,"Apache Lake, upper",SRP,"Apache, epi, upper",2/15/2012,.54,.79,62,5.5,.03,.8,1102,.3
7,APA1B,"Apache Lake, upper",SRP,"Apache, hypo, upper",2/15/2012,6.5,0,14,3.8,.03,.8,1114,.3
8,APA2A,"Apache Lake, lower",SRP,"Apache, epi, lower",2/15/2012,.7,1,10,5.5,.06,1.2,1202,.4
9,APA2B,"Apache Lake, lower",SRP,"Apache, hypo, lower",2/15/2012,.6,1,18,3.9,.03,.8,1101,.4
10,Roos1A,"Roosevelt Lake, upper",SRP,"Roosevelt, epi, upper",2/15/2012,1.0,1.3,16.8,3.7,.03,.8,1387,.3
11,Roos1B,"Roosevelt Lake, upper",SRP,"Roosevelt, hypo, upper",2/15/2012,1.64,1.11,7.2,3.6,.03,.8,1393,.3
12,Roos2A,"Roosevelt Lake, lower",SRP,"Roosevelt, epi, lower",2/15/2012,.86,1.44,5.2,3.6,.03,.8,1352,.3
13,Roos2B,"Roosevelt Lake, lower",SRP,"Roosevelt, hypo, lower",2/15/2012,1.0,1.1,10,3.7,.8,1.0,1491,.4
14,Can1A,"Canyon Lake, upper",SRP,"Canyon, epi, upper",5/16/2012,2.2,0,14.6,4.5,.1,1.7,1005,.5
15,Can1B,"Canyon Lake, upper",SRP,"Canyon, hypo, upper",5/16/2012,3.9,4.7,14.4,6.5,.1,1.2,1009,1.1
16,Can2A,"Canyon Lake, lower",SRP,"Canyon, epi, lower",5/16/2012,,,11.4,3.9,.1,1.8,1009,.4
17,Can2B,"Canyon Lake, lower",SRP,"Canyon, hypo, lower",5/16/2012,,,13.8,3.8,.1,1.8,1007,.4
18,APA1A,"Apache Lake, upper",SRP,"Apache, epi, upper",5/16/2012,4.5,4.2,28.2,6.3,.1,1.2,993,.6
19,APA1B,"Apache Lake, upper",SRP,"Apache, hypo, upper",5/16/2012,,,19,4.0,.1,1.7,1007,.4
20,APA2A,"Apache Lake, lower",SRP,"Apache, epi, lower",5/16/2012,2.9,0,11.8,4.1,.1,1.7,,.3
21,APA2B,"Apache Lake, lower",SRP,"Apache, hypo, lower",5/16/2012,,,9,3.8,.1,1.8,,.4
22,Roos1A,"Roosevelt Lake, upper",SRP,"Roosevelt, epi, upper",5/16/2012,,,,4.6,,,1235,
