ID,Site Name,Site Location,Cluster,Site Acronym,Date,Units,Ag3280,Ag3382,Al3944,Al3961,As1890,As1937,Ba2335,Ba4554,Be2348,Be3130,Bi1902,Bi2230,Ca3158,Ca3179,Cd2144,Cd2265,Co2286,Co2388,Cr2677,Cr2835,Cu3247,Cu3273,Fe2395,Fe2599,K7664,K7698,Li6707,Mg2790,Mg2852,Mn2576,Mn2593,Mo2020,Mo2816,Na5889,Na5895,Ni2216,Ni2316,Pb2169,Pb2203,Sb2068,Sb2175,Se1960,Se2039,Sr4077,Sr4215,Ti3234,Ti3349,Ti3361,Tl1908,Tl2767,U_2635,U_3670,U_3859,V_3093,V_3102,Zn2025,Zn2138
5,"Can1A","Canyon Lake, upper","SRP","Canyon, eppi, upper","2/25/2019","(mg/L)","0.0006","0.0182","0.136","-0.0739","0.0059","0.0053","0.0495","0.0455","0.0002","0.0002","0.0075","0.0344","33.98","33.79","0.0003","0.0003","0.0003","0.0003","0.0012","0.0006","0.0022","0.0002","0.0523","0.054","5.807","6.041","0.1007","10.34","10.93","0.0108","0.0112","0.0047","0.0031","178.4","168.1","0.0035","0.0008","-0.0136","0.0025","0.0084","0.0041","0.0076","0.0028","0.3341","0.2825","0.0007","0.0009","0.0005","0.003","0.056","0.0006","0.0017","-0.0061","0.0168","0.0079","0.0048","0.0064"
6,"Can1B","Canyon Lake, upper","SRP","Canyon, hypo, upper","2/25/2019","(mg/L)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Can2A","Canyon Lake, lower","SRP","Canyon, eppi, lower","2/25/2019","(mg/L)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Can2B","Canyon Lake, lower","SRP","Canyon, hypo, lower","2/25/2019","(mg/L)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"APA1A","Apache Lake, upper","SRP","Apache, eppi, upper","2/25/2019","(mg/L)","-0.0003","0.0203","0.1003","-0.1509","0.0075","0.0045","0.0746","0.0684","0","0.0001","0.0005","0.0298","47.18","46.46","0.0002","0.0002","0.0004","0.0009","0.0012","0","0.0013","-0.0007","0.0398","0.0406","7.939","8.345","0.1473","14.27","14.96","0.0088","0.0092","0.002","-0.0003","0","261.8","0.0024","0.0008","-0.0168","0.0019","0.0042","0.0003","0.0044","0.0045","0.4746","0.388","0.0002","0.0004","0","0.0041","0.0896","-0.0007","0.0017","-0.006","0.022","0.0077","0.0015","0.0035"
10,"APA1B","Apache Lake, upper","SRP","Apache, hypo, upper","2/25/2019","(mg/L)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"APA2A","Apache Lake, lower","SRP","Apache, eppi, lower","2/25/2019","(mg/L)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"APA2B","Apache Lake, lower","SRP","Apache, hypo, lower","2/25/2019","(mg/L)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"Roos2B","Roosevelt Lake, lower","SRP","Roosevelt, hypo, lower","5/7/2019","(mg/L)","-0.0009","0.0219","0.1096","-0.1342","0.0055","0.0016","0.0752","0.068","0.0002","0","0.0046","0.0161","44.46","42.81","0","0","-0.0003","0.0004","0.0008","0.0002","0.0082","0.0057","0.0476","0.0499","8.103","8.76","0.1415","13.53","14.14","0.006","0.0065","0.0012","-0.0028","0","257.6","0.0032","0.0007","-0.0154","0.0004","-0.0043","-0.0056","0.0027","0.0026","0.4475","0.368","0.0001","0.0004","0","0.0029","0.0702","-0.002","-0.0033","-0.0024","0.0226","0.0118","0.0062","0.0081"
34,"R3","Waddell Canal","cap","waddell canal","5/7/2019","(mg/L)","-0.0024","0.0252","0.1093","-0.2217","0.0036","-0.0003","0.103","0.0955","0.0001","0","0.0016","0.0173","66.93","64.12","0","0","-0.0004","-0.0003","0.001","0.0001","0.0028","0.0005","0.0138","0.0156","5.455","6.148","0.0442","21.13","22.49","0.0087","0.0094","0.0038","-0.0018","78.06","83.38","0.0017","0.0002","-0.0144","-0.0004","-0.0034","-0.0066","0.0027","0.0043","0.9381","0.8534","0.0001","0.0003","-0.0002","0.0035","0.1096","-0.0015","-0.0059","-0.0004","0.035","0.0112","-0.0023","0.0014"
