"site number","site location","cluster","site acronym","arsenic (ug/L)","perchlorate (ug/L)","date","BDL"
"Green In","Greenway WTP Inlet","srp","Green In",8.1,1.272,2004-04-13,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",8.4,0.99,2004-04-13,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",3.3,NA,2004-04-13,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",2.9,NA,2004-04-13,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",NA,NA,2004-04-13,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",11.1,NA,2004-04-13,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",9.5,1.185,2004-04-13,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",7.5,2.14,2004-04-13,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",10,NA,2004-04-13,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",0,0,2004-04-13,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",NA,3.348,2004-04-13,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",8.2,0,2004-04-13,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",9.5,2.658,2004-04-13,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",13.1,1.258,2004-04-13,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",6,NA,2004-04-13,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",11.1,1.25,2004-04-13,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",10.6,2.161,2004-04-13,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",NA,3.77,2004-04-13,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",NA,2.647,2004-04-13,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",NA,NA,2004-04-13,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",9.4,NA,2004-04-13,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",12.5,NA,2004-04-13,NA
"R25","verde river at beeline highway","verde","verde @ beeline",5.6,NA,2004-04-13,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",3.3,0.721,2004-04-13,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",3.3,0.722,2004-04-13,NA
"R3","Waddell Canal","cap","waddell canal",0,0,2004-04-13,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",14.6,0,2004-04-13,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",16,0,2004-04-13,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",6.8,0,2004-04-13,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",6.7,0,2004-04-13,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",7.3,0,2004-04-13,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",9.1,0,2004-04-13,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",0,NA,2004-04-13,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",NA,NA,2004-04-13,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",0,2.563,2004-04-13,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,2.428,2004-04-13,NA
"Green In","Greenway WTP Inlet","srp","Green In",5.8,0,2004-05-18,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",4.6,0,2004-05-18,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",0,2.635,2004-05-18,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",0,2.653,2004-05-18,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",6.3,0.818,2004-05-18,NA
