ID,site number,site location,cluster name,site acronym,date,periphyton description,(<6in depth) thickness,(<6in depth) mat color,(6-12in depth) thickness,(6-12in depth) mat color,(>12in depth) thickness,(>12in depth) mat color,canal notes
1,"R1","CAP canal above Waddell Canal","cap","cap-siphon","10/12/99 00:00:00",,,,,,,,
2,"R3","Waddell Canal","cap","waddell canal","10/12/99 00:00:00","thick mat, but not brown-black mat observed last t",,,,,,,
3,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","10/12/99 00:00:00","light algae on the bottom, heavier than at R1",,,,,,,
4,"R11","CAP Canal at Cross-connect","cap","cap @ x con","10/13/99 00:00:00","huge chara mat still present, fish and garlic odor",,,,,,,
5,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","10/13/99 00:00:00","visibility about  3 ft, sweet, slight fishy, musty","0.5 in to 1in","bright green",,,,,
6,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","10/13/99 00:00:00","thin and muddy mat, no visible blue-green",,,,,,"brown",
7,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","10/13/99 00:00:00","very thin coating, 2 in band green, not below",,,,,,,
8,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","10/13/99 00:00:00","green mat with lots of O2 bubbles",,"green",,"green",,"brown",
9,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","10/13/99 00:00:00",,"less than 0.5 in","brown",,"green",,"green",
10,"R1","CAP canal above Waddell Canal","cap","cap-siphon","11/16/99 00:00:00",,,,,,,,
11,"R3","Waddell Canal","cap","waddell canal","11/16/99 00:00:00","visible blue-green",,,,,,,"thin<30"", thick>30"""
12,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","11/17/99 00:00:00",,,,,,,,
13,"R11","CAP Canal at Cross-connect","cap","cap @ x con","11/15/99 00:00:00",,,,,,,,
14,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","11/15/99 00:00:00",,,,,,,,
15,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","11/15/99 00:00:00",,,,,,,,
16,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","11/17/99 00:00:00",,,,,,,,
17,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","11/17/99 00:00:00",,,,,,,,
18,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","11/17/99 00:00:00",,,,,,,,"south canal shut-down"
19,"R1","CAP canal above Waddell Canal","cap","cap-siphon","12/15/99 00:00:00","brown/goldish-brown","<1/2""","brown/goldish-brown",,"brown/goldish-brown",,"brown/goldish-brown","very little attached, mud on sides"
20,"R3","Waddell Canal","cap","waddell canal","12/15/99 00:00:00","yellow","<1/2""","brown/goldish-brown",,"brown/goldish-brown",,"brown/goldish-brown","brown & yellow strip of algae"
21,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","12/16/99 00:00:00","brownish color","little growth","brown","a bit more growth","brown/goldish-brown","same as 6-12 ""","brown","very little growth"
22,"R11","CAP Canal at Cross-connect","cap","cap @ x con","12/14/99 00:00:00",,,,"3 to 5","green",,,"fishy odor"
23,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","12/14/99 00:00:00",,"2 to 3","green",,,,,
24,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","12/14/99 00:00:00",,,"green, brown",,,,,
25,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","12/16/99 00:00:00","brown",,"brown filamentus","not visible",,,,"earthy odor, muddy"
26,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","12/16/99 00:00:00",,"<1""","green, brown",,,,,"mud sediment, can only see about 15cm below"
27,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","12/16/99 00:00:00",,,,,,,,"south canal shut-down"
28,"R1","CAP canal above Waddell Canal","cap","cap-siphon","01/11/00 00:00:00",,"<1""","greenish/brown","<1""","greenish/brown",,,"crusty, earthy odor"
29,"R3","Waddell Canal","cap","waddell canal","01/12/00 00:00:00",,"<1"" (thin mat)","green","<1"" (thin mat)",,,,
30,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","01/12/00 00:00:00","thin mat, mottled",,"blue-green/brownish","same",,,,
