ID,site number,site location,cluster name,site acronym,date,month,sample type,TOC (mg/L),DOC (mg/L),UVA (cm-1),suva (L/mg-m),peak int,peak int WL,int at 450,int at 460,int at 500,FI (450/500),docm comments,Field1
816,"R20","Verde River at Tangle","verde","verde abv horseshoe","01/01/02 00:00:00","01/01/02 00:00:00",,,,,,21.13,440.8,20.28,18.64,11.44,1.77,,
11830,"HAV","Havasu lake Sample",,"Havasu  ","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
11831,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
11832,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
11833,"R20","Verde River at Tangle","verde","verde abv horseshoe","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
11834,"R25","verde river at beeline highway","verde","verde @ beeline","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
11835,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","02/25/20 00:00:00","02/25/20 00:00:00",,,4.4,0.126,2.8,,,,,,,,
11836,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","02/25/20 00:00:00","02/25/20 00:00:00",,,5.2,0.152,2.9,,,,,,,,
11837,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","02/25/20 00:00:00","02/25/20 00:00:00",,,7,0.235,3.3,,,,,,,,
11838,"R9A-DUP","Saguaro Lake near inlet","salt","saguaro-epi dup","02/25/20 00:00:00","02/25/20 00:00:00",,,5.8,0.231,4,,,,,,,,
11839,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","02/25/20 00:00:00","02/25/20 00:00:00",,,6.3,0.132,2.1,,,,,,,,
11840,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","02/25/20 00:00:00","02/25/20 00:00:00",,,5.4,0.129,2.4,,,,,,,,
11841,"SRNR","Salt River near Roosevelt","salt","SRNR","02/25/20 00:00:00","02/25/20 00:00:00",,,2.8,,,,,,,,,,
11842,"UH IN","Union Hills Inlet","cap","Union Hills Inlet","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
11843,"UH OUT","Union Hills Treated Water","cap","Union Hills Outlet","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
11844,"NP IN","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
11845,"NP OUT","Tempe's North Plant treated water","tempe","north plant outlet","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
11846,"SPT IN","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","02/25/20 00:00:00","02/25/20 00:00:00",,,3.2,0.224,7.029,,,,,,,,
11847,"SPT OUT","Tempe's South Plant treated water","tempe","STP Out","02/25/20 00:00:00","02/25/20 00:00:00",,,1.8,0.109,6.056,,,,,,,,
11848,"GR IN","Greenway WTP Inlet","srp","Green In","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
11849,"GR OUT","Greenway WTP Outlet","srp","Green Out","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
856,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","03/01/02 00:00:00","03/01/02 00:00:00",,10.99,4.085,0.06569999999999999,1.6,36.62,450.14,36.62,35.5,24.13,1.52,,
11850,"GL IN","Glendale WTP Inlet",,"Glen In","02/25/20 00:00:00","02/25/20 00:00:00",,,3.2,0.03,0.9379999999999999,,,,,,,,
11851,"GL OUT","Glendale WTP Outlet",,"Glen Out","02/25/20 00:00:00","02/25/20 00:00:00",,,1.8,0.047,2.611,,,,,,,,
11852,"AN IN","Anthem WTP inlet",,"anthem","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
11853,"AN OUT","Anthem WTP outlet",,"anthem","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
11854,"R14","AZ Canal - Inlet to 24th St WTP","srp","az canal @ 24th St","02/25/20 00:00:00","02/25/20 00:00:00",,,3.8,0.095,2.5,,,,,,,,
11855,"R15","24th St WTP treated water","srp","24th St -treated","02/25/20 00:00:00","02/25/20 00:00:00",,,3.3,0.036,1.091,,,,,,,,
11856,"CH IN","Chandler WTP inlet",,"chandler","02/25/20 00:00:00","02/25/20 00:00:00",,,3.1,0.092,2.968,,,,,,,,
11857,"CH OUT","Chandler WTP outlet",,"chandler","02/25/20 00:00:00","02/25/20 00:00:00",,,2.8,0.045,1.607,,,,,,,,
11858,"R3","Waddell Canal","cap","waddell canal","02/25/20 00:00:00","02/25/20 00:00:00",,,3.4,0.048,1.4,,,,,,,,
11859,"AN IN","Anthem WTP inlet",,"anthem","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
11860,"UH IN","Union Hills Inlet","cap","Union Hills Inlet","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
11861,"SGPS","Salt Gila",,"Salt Gila","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
11862,"MTO","Mesa Turnout",,"Mesa Turnout","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
11863,"R11","CAP Canal at Cross-connect","cap","cap @ x con","02/25/20 00:00:00","02/25/20 00:00:00",,,3.1,0.055,,,,,,,,,
11864,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","02/25/20 00:00:00","02/25/20 00:00:00",,,3.3,0.089,2.7,,,,,,,,
11865,"R25","verde river at beeline highway","verde","verde @ beeline","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
11866,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","02/25/20 00:00:00","02/25/20 00:00:00",,,2.7,0.05,1.9,,,,,,,,
11867,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","02/25/20 00:00:00","02/25/20 00:00:00",,,3.5,0.113,3.2,,,,,,,,
11868,"HWY 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","02/25/20 00:00:00","02/25/20 00:00:00",,,4,0.139,3.5,,,,,,,,
11869,"PIMA","AZ Canal at Pima Rd.","srp","az canal @ pima","02/25/20 00:00:00","02/25/20 00:00:00",,,5.6,0.229,4.1,,,,,,,,
11870,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","02/25/20 00:00:00","02/25/20 00:00:00",,,6.4,0.316,4.9,,,,,,,,
857,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","03/01/02 00:00:00","03/01/02 00:00:00",,4.306,4.13,0.0612,1.5,53.72,446.43,52.83,49.43,28.72,1.84,,
11871,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","02/25/20 00:00:00","02/25/20 00:00:00",,,3.4,0.114,3.4,,,,,,,,
11872,"GL IN","Glendale WTP Inlet",,"Glen In","02/25/20 00:00:00","02/25/20 00:00:00",,,4.7,0.03,0.6,,,,,,,,
11873,"GR IN","Greenway WTP Inlet","srp","Green In","02/25/20 00:00:00","02/25/20 00:00:00",,,,,,,,,,,,,
11874,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","02/25/20 00:00:00","02/25/20 00:00:00",,,3.8,0.08,2.1,,,,,,,,
11875,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","02/25/20 00:00:00","02/25/20 00:00:00",,,6,0.311,5.2,,,,,,,,
11876,"SPT IN","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","02/25/20 00:00:00","02/25/20 00:00:00",,,3.6,0.095,,,,,,,,,
11877,"HOC","Head of the Consolidated Canal","az canal",,"02/25/20 00:00:00","02/25/20 00:00:00",,,6.1,0.294,4.8,,,,,,,,
11878,"MOC","Middle of the Consolidated canal","az canal",,"02/25/20 00:00:00","02/25/20 00:00:00",,,4,0.102,2.5,,,,,,,,
11879,"CH IN","Chandler WTP inlet",,"chandler","02/25/20 00:00:00","02/25/20 00:00:00",,,3.6,0.079,,,,,,,,,
11880,"HAV","Havasu lake Sample",,"Havasu  ","05/01/20 00:00:00","05/01/20 00:00:00",,,,,,,,,,,,,
11881,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","05/01/20 00:00:00","05/01/20 00:00:00",,,,,,,,,,,,,
11882,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","05/01/20 00:00:00","05/01/20 00:00:00",,,,,,,,,,,,,
11883,"R20","Verde River at Tangle","verde","verde abv horseshoe","05/01/20 00:00:00","05/01/20 00:00:00",,,,,,,,,,,,,
11884,"R25","verde river at beeline highway","verde","verde @ beeline","05/01/20 00:00:00","05/01/20 00:00:00",,,4.2,0.063,1.5,,,,,,,,
11885,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","05/01/20 00:00:00","05/01/20 00:00:00",,,,,,,,,,,,,
11886,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","05/01/20 00:00:00","05/01/20 00:00:00",,,,,,,,,,,,,
