ID,site number,site location,cluster name,site acronym,date,month,UVAf (Al sorp),DOCf (Al sorp),SUVAf,% UVA Rem,% DOC Rem,CHCl3 (ug/L),CHBrCl2 (ug/L),CHClBr2 (ug/L),CHBr3 (ug/L),TTHM (ug/L),MCAA monochloroacetic acid (ug/L),MBAA monobromoacetic acid (ug/L),DCAA dichloroacetic acid (ug/L),TCAA trichloroacetic acid (ug/L),BCAA bromochloroacetic acid (ug/L),DBAA dibromoacetic acid (ug/L),BDCAA Bromodichloroacetic acid,CDBAA Chlorodibromacetic acid,TBAA Tribromoacetic acid,DiHAA,% DBA dibromopropionic acid (% recovery),THAA9 (ug/L),MCAA COP,MBAA COP,DCAA COP,TCAA COP,BCAA COP,DBAA COP,BDCAA COP,CDBAA COP,TBAA COP,DiHAA COP,THAA9 COP,% DBA COP,sample type,docq comments
1,"R1","CAP canal above Waddell Canal","cap","cap-siphon","09/16/99 00:00:00","09/01/99 00:00:00",1.7999999999999999e-02,1.3049999999999999e+00,1.3800000000000000e-02,5.9090000000000003e+01,5.2020000000000003e+01,3.0399999999999999e+01,1.9800000000000001e+01,1.2400000000000000e+01,0.0000000000000000e+00,6.2600000000000001e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.0600000000000001e+01,0.0000000000000000e+00,8.3000000000000007e+00,2.7999999999999998e+00,,,,,2.2500000000000000e+02,,,,,,,,,,,,,,,
2,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","09/16/99 00:00:00","09/01/99 00:00:00",1.7999999999999999e-02,1.3839999999999999e+00,1.2999999999999999e-02,6.0869999999999997e+01,5.4890000000000001e+01,3.1899999999999999e+01,2.2000000000000000e+01,1.9300000000000001e+01,0.0000000000000000e+00,7.3200000000000003e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.6300000000000001e+01,0.0000000000000000e+00,8.9000000000000004e+00,4.0000000000000000e+00,,,,,1.2700000000000000e+02,,,,,,,,,,,,,,,
3,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","09/16/99 00:00:00","09/01/99 00:00:00",1.7000000000000001e-02,1.2500000000000000e+00,1.3599999999999999e-02,6.2219999999999999e+01,5.3649999999999999e+01,2.8500000000000000e+01,1.9000000000000000e+01,1.5100000000000000e+01,0.0000000000000000e+00,6.2600000000000001e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.7600000000000001e+01,0.0000000000000000e+00,9.0999999999999996e+00,4.4000000000000004e+00,,,,,2.3900000000000000e+02,,,,,,,,,,,,,,,
4,"R3","Waddell Canal","cap","waddell canal","09/16/99 00:00:00","09/01/99 00:00:00",1.4999999999999999e-02,1.1890000000000001e+00,1.2600000000000000e-02,6.5909999999999997e+01,5.4960000000000001e+01,2.6800000000000001e+01,1.6600000000000001e+01,1.2300000000000001e+01,0.0000000000000000e+00,5.5700000000000003e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.7100000000000001e+01,0.0000000000000000e+00,8.6999999999999993e+00,3.3999999999999999e+00,,,,,1.3400000000000000e+02,,,,,,,,,,,,,,,
5,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","09/16/99 00:00:00","09/01/99 00:00:00",1.7999999999999999e-02,1.1730000000000000e+00,1.5299999999999999e-02,5.9090000000000003e+01,5.6649999999999999e+01,3.3600000000000001e+01,1.9000000000000000e+01,1.6199999999999999e+01,0.0000000000000000e+00,6.8799999999999997e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.6800000000000001e+01,0.0000000000000000e+00,1.0100000000000000e+01,4.5999999999999996e+00,,,,,2.7300000000000000e+02,,,,,,,,,,,,,,,
6,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","09/14/99 00:00:00","09/01/99 00:00:00",2.1999999999999999e-02,1.0209999999999999e+00,2.1499999999999998e-02,7.0670000000000002e+01,5.7950000000000003e+01,6.1500000000000000e+01,2.5399999999999999e+01,1.0500000000000000e+01,0.0000000000000000e+00,9.7400000000000006e+01,0.0000000000000000e+00,0.0000000000000000e+00,3.6700000000000003e+01,3.2000000000000002e+00,1.0600000000000000e+01,2.7000000000000002e+00,,,,,2.8400000000000000e+02,,,,,,,,,,,,,,,
7,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","09/14/99 00:00:00","09/01/99 00:00:00",2.5999999999999999e-02,9.7899999999999998e-01,2.6599999999999999e-02,3.6590000000000003e+01,5.0750000000000000e+01,3.7899999999999999e+01,2.0500000000000000e+01,1.4500000000000000e+01,0.0000000000000000e+00,7.2900000000000006e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.1000000000000001e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,,2.6200000000000000e+02,,,,,,,,,,,,,,,
8,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","09/14/99 00:00:00","09/01/99 00:00:00",1.9000000000000000e-02,9.1200000000000003e-01,2.0799999999999999e-02,5.7780000000000001e+01,5.2399999999999999e+01,4.6700000000000003e+01,1.8699999999999999e+01,1.3600000000000000e+01,0.0000000000000000e+00,7.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.1000000000000000e+01,0.0000000000000000e+00,7.2999999999999998e+00,2.8999999999999999e+00,,,,,1.8000000000000000e+02,,,,,,,,,,,,,,,
9,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","09/14/99 00:00:00","09/01/99 00:00:00",2.7000000000000000e-02,8.7600000000000000e-01,3.0800000000000001e-02,3.7210000000000001e+01,4.8170000000000002e+01,3.8899999999999999e+01,1.8300000000000001e+01,1.3500000000000000e+01,0.0000000000000000e+00,7.0700000000000003e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.2300000000000001e+01,0.0000000000000000e+00,8.6999999999999993e+00,3.7999999999999998e+00,,,,,2.9600000000000000e+02,,,,,,,,,,,,,,,
10,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","09/15/99 00:00:00","09/01/99 00:00:00",2.3000000000000000e-02,1.1630000000000000e+00,1.9800000000000002e-02,5.8930000000000000e+01,5.6719999999999999e+01,3.8700000000000003e+01,2.5399999999999999e+01,2.1199999999999999e+01,2.1000000000000001e+00,1.0340000000000001e+02,0.0000000000000000e+00,0.0000000000000000e+00,2.3300000000000001e+01,1.5000000000000000e+00,1.3100000000000000e+01,6.5000000000000000e+00,,,,,4.0100000000000000e+02,,,,,,,,,,,,,,,
