ID,site number,site location,cluster name,site acronym,date,month,depth (m),T (C),DO (mg/l),pH,"Secchi Disk, m",samples collected,sample type,comments
6802,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12/6/2005,45.6,15,8.7,,,,,
6803,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12/6/2005,47.6,15,8.7,,,,,
6804,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12/6/2005,49.3,15,8.7,,,,,
6805,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12/6/2005,51.7,15,8.6,,,,,
6806,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12/6/2005,54.2,15,8.4,,,,,
6807,R6A,Bartlett Reservoir near outlet,verde,bartlett-0m,12/6/2005,12/6/2005,0,15.5,7.5,,1.22,,,
6808,R6-5,Bartlett Reservoir near outlet,verde,bartlett-5m,12/6/2005,12/6/2005,5,15.6,9.1,,,,,
6809,R6-10,Bartlett Reservoir near outlet,verde,bartlett-10m,12/6/2005,12/6/2005,10,15.6,9.2,,,,,
6810,R6-15,Bartlett Reservoir near outlet,verde,bartlett-15m,12/6/2005,12/6/2005,15,15.6,9.1,,,,,
6811,R6-20,Bartlett Reservoir near outlet,verde,bartlett-20m,12/6/2005,12/6/2005,20,15.6,9,,,,,
6812,R6-25,Bartlett Reservoir near outlet,verde,bartlett-25m,12/6/2005,12/6/2005,25,15.6,8.8,,,,,
6813,R6-30,Bartlett Reservoir near outlet,verde,bartlett-30m,12/6/2005,12/6/2005,30,15.6,8.7,,,,,
6814,R6-35,Bartlett Reservoir near outlet,verde,bartlett-35m,12/6/2005,12/6/2005,35,15.5,7.4,,,,,
6815,R6-40,Bartlett Reservoir near outlet,verde,bartlett-40m,12/6/2005,12/6/2005,40,15.1,7,,,,,
6816,R6-45,Bartlett Reservoir near outlet,verde,bartlett-45m,12/6/2005,12/6/2005,45,14.9,6.8,,,,,
6817,R6-50,Bartlett Reservoir near outlet,verde,bartlett-50m,12/6/2005,12/6/2005,50,,,,,,,
6818,R9A,Saguaro Lake near inlet,salt,saguaro-0m,12/6/2005,12/6/2005,0,6.6,15.8,,2.74,,,
6819,R9-5,Saguaro Lake near inlet,salt,saguaro-5m,12/6/2005,12/6/2005,5,7.7,15.9,,,,,
6820,R9-10,Saguaro Lake near inlet,salt,saguaro-10m,12/6/2005,12/6/2005,10,7.8,15.9,,,,,
6821,R9-15,Saguaro Lake near inlet,salt,saguaro-15m,12/6/2005,12/6/2005,15,7.7,16,,,,,
6822,R9-20,Saguaro Lake near inlet,salt,saguaro-20m,12/6/2005,12/6/2005,20,7.6,16,,,,,
6823,R9-25,Saguaro Lake near inlet,salt,saguaro-25m,12/6/2005,12/6/2005,25,7.2,16,,,,,
6824,R9-30,Saguaro Lake near inlet,salt,saguaro-30m,12/6/2005,12/6/2005,30,7.1,16,,,,,
6825,R9-35,Saguaro Lake near inlet,salt,saguaro-35m,12/6/2005,12/6/2005,35,,,,,,,
6826,R9-40,Saguaro Lake near inlet,salt,saguaro-40m,12/6/2005,12/6/2005,40,,,,,,,
6827,R9-45,Saguaro Lake near inlet,salt,saguaro-45m,12/6/2005,12/6/2005,45,,,,,,,
