ID,site number,site location,cluster name,site acronym,date,month,sample type,MIB (ng/L) ASU,Geosmin  (ng/L) ASU,Beta-cyclocitral (ng/L),IPMP Recovery (%),MIB (ng/L) Phoenix,Geosmin  (ng/L) Phoenix,comments
5111,"R19","Val Vista WTP treated water","srp","val vista-treated","01/17/06 00:00:00","01/17/06 00:00:00",,2.2,4.1,0,,,,
5112,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","01/17/06 00:00:00","01/17/06 00:00:00",,2.2,4.6,3.9,,,,
5113,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","01/17/06 00:00:00","01/17/06 00:00:00",,2.4,3.7,3,,,,
5114,"R25","verde river at beeline highway","verde","verde @ beeline","01/17/06 00:00:00","01/17/06 00:00:00",,2.2,3.5,0,,,,
5115,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","01/17/06 00:00:00","01/17/06 00:00:00",,2.6,3.4,0,,,,
5116,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","01/17/06 00:00:00","01/17/06 00:00:00",,2.1,3.9,0,,,,
5117,"UH In","Union Hills Inlet","cap","Union Hills Inlet","01/17/06 00:00:00","01/17/06 00:00:00",,0,2.5,2.3,,,,
5118,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","01/17/06 00:00:00","01/17/06 00:00:00",,0,2.2,0,,,,
5119,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","01/17/06 00:00:00","01/17/06 00:00:00",,2.6,5.2,0,,,,
5120,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","01/17/06 00:00:00","01/17/06 00:00:00",,3,4.4,4.2,,,,
5121,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","01/17/06 00:00:00","01/17/06 00:00:00",,2.6,2.3,0,,,,
5122,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","01/17/06 00:00:00","01/17/06 00:00:00",,2.5,3.5,0,,,,
5123,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","01/17/06 00:00:00","01/17/06 00:00:00",,,,,,,,
5124,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","01/17/06 00:00:00","01/17/06 00:00:00",,,,,,,,
5125,"Green In","Greenway WTP Inlet","srp","Green In","01/17/06 00:00:00","01/17/06 00:00:00",,,,,,,,
5126,"Green Out","Greenway WTP Outlet","srp","Green Out","01/17/06 00:00:00","01/17/06 00:00:00",,,,,,,,
5127,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","01/17/06 00:00:00","01/17/06 00:00:00",,2.2,2.2,0,,,,
5128,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","01/17/06 00:00:00","01/17/06 00:00:00",,2.7,0,0,,,,
5129,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","01/17/06 00:00:00","01/17/06 00:00:00",,0,3.9,0,,,,
5130,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","01/17/06 00:00:00","01/17/06 00:00:00",,2,4.2,0,,,,
5131,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","01/17/06 00:00:00","01/17/06 00:00:00",,4.3,3.7,0,,,,
5132,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","01/17/06 00:00:00","01/17/06 00:00:00",,4.5,3.2,0,,,,
5133,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","01/17/06 00:00:00","01/17/06 00:00:00",,4.5,0,0,,,,
5134,"R20","Verde River at Tangle","verde","verde abv horseshoe","01/17/06 00:00:00","01/17/06 00:00:00",,4.2,3.5,0,,,,
5135,"Havasu 1","Havasu lake Sample",,"Havasu 1","01/17/06 00:00:00","01/17/06 00:00:00",,0,2.7,0,,,,
5136,"Havasu 2","Havasu lake Sample",,"Havasu 2","01/17/06 00:00:00","01/17/06 00:00:00",,,,,,,,
5137,"Roosvelt","SRP above Roosevelt Lake",,"Above Roosevelt","01/17/06 00:00:00","01/17/06 00:00:00",,,,,,,,
5138,"R1","CAP canal above Waddell Canal","cap","cap-siphon","01/17/06 00:00:00","01/17/06 00:00:00",,,,,,,,
5139,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","01/17/06 00:00:00","01/17/06 00:00:00",,,,,,,,
5140,"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","01/17/06 00:00:00","01/17/06 00:00:00",,,,,,,,
5141,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","01/17/06 00:00:00","01/17/06 00:00:00",,,,,,,,
5142,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","01/17/06 00:00:00","01/17/06 00:00:00",,,,,,,,
5143,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","01/17/06 00:00:00","01/17/06 00:00:00",,,,,,,,
5144,"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","01/17/06 00:00:00","01/17/06 00:00:00",,,,,,,,
5145,"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","01/17/06 00:00:00","01/17/06 00:00:00",,,,,,,,
5146,"R3","Waddell Canal","cap","waddell canal","02/13/06 00:00:00","02/13/06 00:00:00",,0,2.5,0,,,,
5147,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","02/13/06 00:00:00","02/13/06 00:00:00",,2.7,3.5,0,,,,
5148,"R11","CAP Canal at Cross-connect","cap","cap @ x con","02/13/06 00:00:00","02/13/06 00:00:00",,,,,,,,
5149,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","02/13/06 00:00:00","02/13/06 00:00:00",,3,3.1,0,,,,
5150,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","02/13/06 00:00:00","02/13/06 00:00:00",,2.8,2.8,0,,,,
5151,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","02/13/06 00:00:00","02/13/06 00:00:00",,3,2.9,0,,,,
5152,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","02/13/06 00:00:00","02/13/06 00:00:00",,2.4,3.2,0,,,,
5153,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","02/13/06 00:00:00","02/13/06 00:00:00",,2.5,2.9,0,,,,
5154,"R17","Deer Valley WTP treated water","srp","deer valley-treated","02/13/06 00:00:00","02/13/06 00:00:00",,3,3.7,0,,,,
5155,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","02/13/06 00:00:00","02/13/06 00:00:00",,0,3.4,0,,,,
5156,"R19","Val Vista WTP treated water","srp","val vista-treated","02/13/06 00:00:00","02/13/06 00:00:00",,0,3.4,0,,,,
5157,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","02/13/06 00:00:00","02/13/06 00:00:00",,0,3.3,0,,,,
5158,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","02/13/06 00:00:00","02/13/06 00:00:00",,2.1,3.7,0,,,,
5159,"R25","verde river at beeline highway","verde","verde @ beeline","02/13/06 00:00:00","02/13/06 00:00:00",,2.6,3,0,,,,
5160,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","02/13/06 00:00:00","02/13/06 00:00:00",,0,3.4,0,,,,
5161,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","02/13/06 00:00:00","02/13/06 00:00:00",,0,3.4,0,,,,
5162,"UH In","Union Hills Inlet","cap","Union Hills Inlet","02/13/06 00:00:00","02/13/06 00:00:00",,0,2.3,0,,,,
5163,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","02/13/06 00:00:00","02/13/06 00:00:00",,0,2.9,0,,,,
5296,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","05/14/06 00:00:00","05/14/06 00:00:00",,0,2.7,0,,,,
5297,"UH In","Union Hills Inlet","cap","Union Hills Inlet","05/14/06 00:00:00","05/14/06 00:00:00",,0,0,0,,,,
5298,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","05/14/06 00:00:00","05/14/06 00:00:00",,0,0,0,,,,
5299,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","05/14/06 00:00:00","05/14/06 00:00:00",,0,2.3,0,,,,
5300,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","05/14/06 00:00:00","05/14/06 00:00:00",,0,0,0,,,,
5301,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","05/14/06 00:00:00","05/14/06 00:00:00",,0,0,0,,,,
5302,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","05/14/06 00:00:00","05/14/06 00:00:00",,0,0,0,,,,
5303,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","05/14/06 00:00:00","05/14/06 00:00:00",,0,2.9,0,,,,
5304,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","05/14/06 00:00:00","05/14/06 00:00:00",,0,0,0,,,,
5305,"Green In","Greenway WTP Inlet","srp","Green In","05/14/06 00:00:00","05/14/06 00:00:00",,0,0,0,,,,
5306,"Green Out","Greenway WTP Outlet","srp","Green Out","05/14/06 00:00:00","05/14/06 00:00:00",,0,0,0,,,,
5307,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","05/14/06 00:00:00","05/14/06 00:00:00",,0,0,0,,,,
5308,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","05/14/06 00:00:00","05/14/06 00:00:00",,0,0,0,,,,
5309,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","05/14/06 00:00:00","05/14/06 00:00:00",,9.4,0,0,,,,
5310,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","05/14/06 00:00:00","05/14/06 00:00:00",,0,0,0,,,,
5311,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","05/14/06 00:00:00","05/14/06 00:00:00",,0,23.7,0,,,,
5312,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","05/14/06 00:00:00","05/14/06 00:00:00",,0,23.7,0,,,,
5313,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","05/14/06 00:00:00","05/14/06 00:00:00",,0,4.3,0,,,,
5314,"R20","Verde River at Tangle","verde","verde abv horseshoe","05/14/06 00:00:00","05/14/06 00:00:00",,0,2.2,0,,,,
5315,"Havasu 1","Havasu lake Sample",,"Havasu 1","05/14/06 00:00:00","05/14/06 00:00:00",,0,0,0,,,,
5316,"Havasu 2","Havasu lake Sample",,"Havasu 2","05/14/06 00:00:00","05/14/06 00:00:00",,,,,,,,
5317,"Roosvelt","SRP above Roosevelt Lake",,"Above Roosevelt","05/14/06 00:00:00","05/14/06 00:00:00",,,,,,,,
5318,"R1","CAP canal above Waddell Canal","cap","cap-siphon","05/14/06 00:00:00","05/14/06 00:00:00",,,,,,,,
5319,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","05/14/06 00:00:00","05/14/06 00:00:00",,,,,,,,
5320,"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","05/14/06 00:00:00","05/14/06 00:00:00",,,,,,,,
5321,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","05/14/06 00:00:00","05/14/06 00:00:00",,,,,,,,
5322,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","05/14/06 00:00:00","05/14/06 00:00:00",,,,,,,,
5323,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","05/14/06 00:00:00","05/14/06 00:00:00",,,,,,,,
5324,"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","05/14/06 00:00:00","05/14/06 00:00:00",,,,,,,,
5325,"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","05/14/06 00:00:00","05/14/06 00:00:00",,,,,,,,
5326,"R3","Waddell Canal","cap","waddell canal","06/12/06 00:00:00","06/12/06 00:00:00",,0,5.8,4,,,,
5327,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","06/12/06 00:00:00","06/12/06 00:00:00",,0,4.2,5.1,,,,
5328,"R11","CAP Canal at Cross-connect","cap","cap @ x con","06/12/06 00:00:00","06/12/06 00:00:00",,0,8.9,5.6,,,,
