ID,site number,site location,cluster name,site acronym,date,month,sample type,Tot N (mg/L (0<mdl)),Diss N (mg/L (0<mdl)),Tot P (ug/L (0<mdl)),Diss P (ug/L (0<mdl)),NO3-N, mg/l,NH4-N, ppm,DON, ppm,nutrient comments
4440,"UH In","Union Hills Inlet","cap","Union Hills Inlet","09/12/06 00:00:00","09/12/06 00:00:00",,,,4.6,,,,,
4441,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","09/12/06 00:00:00","09/12/06 00:00:00",,,,,,,,,
4442,"R11","CAP Canal at Cross-connect","cap","cap @ x con","09/12/06 00:00:00","09/12/06 00:00:00",,,,13.5,,,,,
4443,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","09/12/06 00:00:00","09/12/06 00:00:00",,,,63.7,,,,,
4444,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","09/12/06 00:00:00","09/12/06 00:00:00",,,,64.90000000000001,,,,,
4445,"R19","Val Vista WTP treated water","srp","val vista-treated","09/12/06 00:00:00","09/12/06 00:00:00",,,,,,,,,
4446,,"Val Vista West WTP treated water","srp","val vista WEST-treated","09/12/06 00:00:00","09/12/06 00:00:00",,,,,,,,,
4447,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","09/12/06 00:00:00","09/12/06 00:00:00",,,,68.59999999999999,,,,,
4448,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","09/12/06 00:00:00","09/12/06 00:00:00",,,,52.5,,,,,
4449,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","09/12/06 00:00:00","09/12/06 00:00:00",,,,,,,,,
4450,"R25","verde river at beeline highway","verde","verde @ beeline","09/12/06 00:00:00","09/12/06 00:00:00",,,,229.5,,,,,
4451,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","09/12/06 00:00:00","09/12/06 00:00:00",,,,38.5,,,,,
4452,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","09/12/06 00:00:00","09/12/06 00:00:00",,,,11.7,,,,,
4453,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","09/12/06 00:00:00","09/12/06 00:00:00",,,,71.09999999999999,,,,,
4454,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","09/12/06 00:00:00","09/12/06 00:00:00",,,,73,,,,,
4455,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","09/12/06 00:00:00","09/12/06 00:00:00",,,,,,,,,
4456,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","09/12/06 00:00:00","09/12/06 00:00:00",,,,91.5,,,,,
4457,"R17","Deer Valley WTP treated water","srp","deer valley-treated","09/12/06 00:00:00","09/12/06 00:00:00",,,,,,,,,
4458,"Green In","Greenway WTP Inlet","srp","Green In","09/12/06 00:00:00","09/12/06 00:00:00",,,,61,,,,,
4459,"Green Out","Greenway WTP Outlet","srp","Green Out","09/12/06 00:00:00","09/12/06 00:00:00",,,,,,,,,
4460,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","09/12/06 00:00:00","09/12/06 00:00:00",,,,70.40000000000001,,,,,
4461,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","09/12/06 00:00:00","09/12/06 00:00:00",,,,,,,,,
4462,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","09/12/06 00:00:00","09/12/06 00:00:00",,,,3.8,,,,,
4463,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","09/12/06 00:00:00","09/12/06 00:00:00",,,,13.7,,,,,
4464,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","09/12/06 00:00:00","09/12/06 00:00:00",,,,2.6,,,,,
4465,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","09/12/06 00:00:00","09/12/06 00:00:00",,,,8.199999999999999,,,,,
4466,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","09/12/06 00:00:00","09/12/06 00:00:00",,,,5.1,,,,,
4467,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","09/12/06 00:00:00","09/12/06 00:00:00",,,,2.4,,,,,
4468,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","09/12/06 00:00:00","09/12/06 00:00:00",,,,16.8,,,,,
4469,"R20","Verde River at Tangle","verde","verde abv horseshoe","09/12/06 00:00:00","09/12/06 00:00:00",,,,,,,,,
4470,"Havasu 1","Havasu lake Sample",,"Havasu 1","09/12/06 00:00:00","09/12/06 00:00:00",,,,,,,,,
4471,"Havasu 2","Havasu lake Sample",,"Havasu 2","09/12/06 00:00:00","09/12/06 00:00:00",,,,,,,,,
