ID,site number,site location,cluster name,site acronym,date,time,personnel,weather,water appearance,water odor strength,water odor,phytoplankton color,phytoplankton clumps,comments
1,"R1","CAP canal above Waddell Canal","cap","cap-siphon","08/18/99 00:00:00",,"MN, LB",,,,,,,"no field sheets"
2,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","08/18/99 00:00:00",,"MN, LB",,,,,,,"no field sheets"
3,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","08/18/99 00:00:00",,"MN, LB",,,,,,,"no field sheets"
4,"R3","Waddell Canal","cap","waddell canal","08/18/99 00:00:00",,"MN, LB",,,,,,,"no field sheets"
5,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","08/18/99 00:00:00",,"MN, LB",,,,,,,"no field sheets"
6,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","08/16/99 00:00:00",,"MN, LB",,,,,,,"no field sheets"
7,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","08/16/99 00:00:00",,"MN, LB",,,,,,,"no field sheets"
8,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","08/16/99 00:00:00",,"MN, LB",,,,,,,"no field sheets"
9,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","08/16/99 00:00:00",,"MN, LB",,,,,,,"no field sheets"
10,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","08/17/99 00:00:00",,"MN, LB",,,,,,,"no field sheets"
11,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","08/17/99 00:00:00",,"MN, LB",,,,,,,"no field sheets"
12,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","08/17/99 00:00:00",,"MN, LB",,,,,,,"no field sheets"
13,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","08/17/99 00:00:00",,"MN, LB",,,,,,,"no field sheets"
14,"R11","CAP Canal at Cross-connect","cap","cap @ x con","08/17/99 00:00:00",,"MN, LB",,,,,,,"no field sheets"
15,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","08/17/99 00:00:00",,"MN, LB",,,,,,,"no field sheets"
16,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","08/17/99 00:00:00",,"MN, LB",,,,,,,"no field sheets"
17,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","08/18/99 00:00:00",,"MN, LB",,,,,,,"no field sheets"
18,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","08/18/99 00:00:00",,"MN, LB",,,,,,,"no field sheets"
19,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","08/17/99 00:00:00",,"MN, LB",,,,,,,"no field sheets"
20,"R17","Deer Valley WTP treated water","srp","deer valley-treated","08/17/99 00:00:00",,"MN, LB",,,,,,,"no field sheets"
21,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","08/18/99 00:00:00",,"MN, LB",,,,,,,"no field sheets"
22,"R19","Val Vista WTP treated water","srp","val vista-treated","08/18/99 00:00:00",,"MN, LB",,,,,,,"no field sheets"
23,"R20","Verde River at Tangle (USGS)","verde","verde abv horseshoe","08/25/99 00:00:00",,"MN, LB",,,,,,,"no field sheets"
24,"R1","CAP canal above Waddell Canal","cap","cap-siphon","09/16/99 00:00:00",,"MN, LB",,,,,,,
25,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","09/16/99 00:00:00",,"MN, LB","clear",,,,"green",,"possible bloom"
26,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","09/16/99 00:00:00",,"MN, LB",,,,,,,
27,"R3","Waddell Canal","cap","waddell canal","09/16/99 00:00:00",,"MN, LB","clear","clear","strong","musty/moldy","black/brown",,"flow is fairly slow"
28,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","09/16/99 00:00:00",,"MN, LB","clear",,,,,,
29,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","09/14/99 00:00:00",,"MN, LB","clear","turbid - brown/green",,,"brown/yellow-brown",,
30,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","09/14/99 00:00:00",,"MN, LB","partly cloudy, clear","turbid - green",,,"green",,
