attributeName,code,definition
site number,16th St.,AZ Canal at 16th Street
site number,19th Av.,AZ Canal at 19th Avenue
site number,Apa-0,Apache Lake at surface
site number,Apa-10,Apache Lake at 10m depth
site number,Apa-15,Apache Lake at 15m depth
site number,Apa-20,Apache Lake at 20m depth
site number,Apa-25,Apache Lake at 25m depth
site number,Apa-30,Apache Lake at 30m depth
site number,Apa-35,Apache Lake at 35m depth
site number,Apa-40,Apache Lake at 40m depth
site number,Apa-45,Apache Lake at 45m depth
site number,Apa-5,Apache Lake at 5m depth
site number,Apa-50,Apache Lake at 50m depth
site number,Apa-55,Apache Lake at 55m depth
site number,Can-0,Canyon Lake at surface
site number,Can-10,Canyon Lake at 10m depth
site number,Can-15,Canyon Lake at 15m depth
site number,Can-20,Canyon Lake at 20m depth
site number,Can-25,Canyon Lake at 25m depth
site number,Can-30,Canyon Lake at 30m depth
site number,Can-35,Canyon Lake at 35m depth
site number,Can-40,Canyon Lake at 40m depth
site number,Can-45,Canyon Lake at 45m depth
site number,Can-5,Canyon Lake at 5m depth
site number,Can-50,Canyon Lake at 50m depth
site number,Cons,Consolidated Canal
site number,Glen In,Glendale WTP Inlet
site number,Glen Out,Glendale WTP Treated
site number,Green In,Greenway WTP Inlet
site number,Green Out,Greenway WTP Treated
site number,Havasu 1,Lake Havasu Site 1
site number,Havasu 2,Lake Havasu Site 2
site number,HTC,Head of Tempe Canal
site number,Hwy 87,AZ Canal at Highway 87
site number,Mesa,AZ Canal at Mesa Dr.
site number,NP In,Tempe North WTP Inlet
site number,NP Out,Tempe North WTP Treated
site number,Pima,AZ Canal at Pima Rd
site number,R1,CAP canal above Waddell Canal
site number,R10,Salt River below Saguaro (Blue Point Bridge)
site number,R11,CAP Canal at Cross-connect
site number,R12,AZ Canal above CAP Cross-connect
site number,R13,AZ Canal below CAP Cross-connect
site number,R14,AZ Canal - Inlet to Squaw Peak WTP
site number,R15,Squaw Peak WTP treated water
site number,R16,AZ Canal - Inlet to Deer Valley WTP
