thesaurus,keyword,type
LTER controlled vocabulary,urban,theme
LTER controlled vocabulary,dissolved organic carbon,theme
LTER controlled vocabulary,chlorophyll,theme
LTER controlled vocabulary,nutrients,theme
LTER controlled vocabulary,total phosphorus,theme
LTER controlled vocabulary,total nitrogen,theme
LTER controlled vocabulary,total dissolved nitrogen,theme
LTER controlled vocabulary,water properties,theme
LTER controlled vocabulary,water quality,theme
LTER core areas,water and fluxes,theme
LTER core areas,disturbance patterns,theme
LTER core areas,movement of organic matter,theme
LTER core areas,movement of inorganic matter,theme
Creator Defined Keyword Set,total dissolved phosphorus,theme
Creator Defined Keyword Set,geosmin,theme
Creator Defined Keyword Set,canal,theme
Creator Defined Keyword Set,water treatment,theme
CAPLTER Keyword Set List,cap lter,theme
CAPLTER Keyword Set List,cap,theme
CAPLTER Keyword Set List,caplter,theme
CAPLTER Keyword Set List,central arizona phoenix long term ecological research,theme
CAPLTER Keyword Set List,arizona,place
CAPLTER Keyword Set List,az,place
CAPLTER Keyword Set List,arid land,theme
