"attributeName","formatString","unit","numberType","definition","attributeDefinition","columnClasses","minimum","maximum"
"site number","","","","","","factor","",""
"site location","","","","","","character","",""
"cluster","","","","","","factor","",""
"site acronym","","","","","","factor","",""
"date","","","","","","Date","",""
"E coli(colonies per 100mL)","","","","","","character","",""
"Coliform(colonies per 100mL)","","","","","","character","",""
"Mycobacterium(colonies per 100mL)","","","","","","character","",""
"Comments","","","","","","character","",""
"F11","","","","","","logical","",""
"F12","","","","","","logical","",""
"F13","","","","","","logical","",""
"F14","","","","","","logical","",""
"F15","","","","","","logical","",""
"F16","","","","","","logical","",""
