"attributeName","formatString","unit","numberType","definition","attributeDefinition","columnClasses","minimum","maximum"
"site number","","","","","","factor","",""
"site location","","","","","","character","",""
"cluster","","","","","","factor","",""
"site acronym","","","","","","factor","",""
"date","","","","","","Date","",""
"sample type","","","","","","character","",""
"Tot N (mg/L (0<mdl))","","","real","","","numeric","-0.003570","2.484000"
"Diss N (mg/L (0<mdl))","","","real","","","numeric","-0.926700","45.700000"
"Tot P (ug/L (0<mdl))","","","real","","","numeric","0.000000","1173.700000"
"Diss P (ug/L (0<mdl))","","","real","","","numeric","0.000000","161.000000"
"NO3-N, mg/l","","","real","","","numeric","0.000000","142.000000"
"NH4-N, ppm","","","real","","","numeric","0.000000","3.900000"
"DON, ppm","","","real","","","numeric","-0.287000","3.715000"
"nutrient comments","","","","","","character","",""
