attributeName,formatString,unit,numberType,definition,attributeDefinition,columnClasses,minimum,maximum
Site Name,,,,"site number or name (A designates epilimnion, B hypolimnion)","site number or name (A designates epilimnion, B hypolimnion)",character,,
Site Location,,,,site location description,site location description,character,,
Cluster,,,,,source water,factor,,
Site Acronym,,,,site number or name,site number or name,character,,
Mib(ng/L),,nanogramsPerLiter,real,,2-methyisoborneol,numeric,,
Geosmin(ng/L),,nanogramsPerLiter,real,,Geosmin,numeric,,
Cyclocitral(ng/L),,nanogramsPerLiter,real,,beta-Cyclocitral,numeric,,
TP (ug/L),,microgramsPerLiter,real,,total phosphorus,numeric,,
DOC (mg/L),,milligramsPerLiter,real,,dissolved organic carbon,numeric,,
UVA(cm-1),,perCentimeter,real,,UV absorbance measured at 254 nanometers,numeric,,
Suva(L/mg-m),,literPerMilligramMeter,real,,specific ultraviolet absorbance,numeric,,
Conductance(us/cm),,microsiemensPerCentimeter,real,,specific conductance,numeric,,
TDN (mg/L),,milligramsPerLiter,real,,total dissolved nitrogen,numeric,,
date,YYYY-MM-DD,,,,sample collection date,Date,,
