attributeName,formatString,unit,numberType,definition,attributeDefinition,columnClasses,minimum,maximum
Site Name,,,,"site number or name (A designates epilimnion, B hypolimnion)","site number or name (A designates epilimnion, B hypolimnion)",character,,
Site Location,,,,site location description,site location description,character,,
Cluster,,,,,source water,factor,,
Site Acronym,,,,site number or name,site number or name,character,,
7Li,,microgramsPerLiter,real,,Lithium measurement by ICP-MS,numeric,,
9Be,,microgramsPerLiter,real,,Beryllium measurement by ICP-MS,numeric,,
23Na,,microgramsPerLiter,real,,Sodium measurement by ICP-MS,numeric,,
24Mg,,microgramsPerLiter,real,,Magnesium measurement by ICP-MS,numeric,,
27Al,,microgramsPerLiter,real,,Aluminum measurement by ICP-MS,numeric,,
39K,,microgramsPerLiter,real,,Potassium measurement by ICP-MS,numeric,,
44Ca,,microgramsPerLiter,real,,Calcium measurement by ICP-MS,numeric,,
51V,,microgramsPerLiter,real,,Vanadium measurement by ICP-MS,numeric,,
52Cr,,microgramsPerLiter,real,,Chromium measurement by ICP-MS,numeric,,
55Mn,,microgramsPerLiter,real,,Manganese measurement by ICP-MS,numeric,,
56Fe,,microgramsPerLiter,real,,Iron measurement by ICP-MS,numeric,,
59Co,,microgramsPerLiter,real,,Cobalt measurement by ICP-MS,numeric,,
60Ni,,microgramsPerLiter,real,,Nickel measurement by ICP-MS,numeric,,
65Cu,,microgramsPerLiter,real,,Copper measurement by ICP-MS,numeric,,
66Zn,,microgramsPerLiter,real,,Zinc measurement by ICP-MS,numeric,,
75As,,microgramsPerLiter,real,,Arsenic measurement by ICP-MS,numeric,,
82Se,,microgramsPerLiter,real,,Selenium measurement by ICP-MS,numeric,,
88Sr,,microgramsPerLiter,real,,Strontium measurement by ICP-MS,numeric,,
95Mo,,microgramsPerLiter,real,,Molybdenum measurement by ICP-MS,numeric,,
107Ag,,microgramsPerLiter,real,,Silver measurement by ICP-MS,numeric,,
111Cd,,microgramsPerLiter,real,,Cadmium measurement by ICP-MS,numeric,,
115In,,microgramsPerLiter,real,,Indium measurement by ICP-MS,numeric,,
121Sb,,microgramsPerLiter,real,,Antimony measurement by ICP-MS,numeric,,
138Ba,,microgramsPerLiter,real,,Barium measurement by ICP-MS,numeric,,
202Hg,,microgramsPerLiter,real,,Mercury measurement by ICP-MS,numeric,,
208Pb,,microgramsPerLiter,real,,Lead measurement by ICP-MS,numeric,,
238U,,microgramsPerLiter,real,,Uranium measurement by ICP-MS,numeric,,
date,YYYY-MM-DD,,,,sample collection date,Date,,
