attributeName,code,definition
site number,Hav,Lake Havasu
site number,HOC,Head of the Consolidated canal
site number,HTC,Head of the Tempe Canal
site number,MOC,Middle of the Consolidated canal
site number,Pima,AZ Canal at Pima Rd
site number,R1,CAP canal above Waddell Canal
site number,R10,Salt River below Saguaro (Blue Point Bridge)
site number,R11,CAP Canal at Cross-connect
site number,R12,AZ Canal above CAP Cross-connect
site number,R13,AZ Canal below CAP Cross-connect
site number,R14,AZ Canal - Inlet to Squaw Peak WTP
site number,R15,Squaw Peak WTP treated water
site number,R16,AZ Canal - Inlet to Deer Valley WTP
site number,R17,Deer Valley WTP treated water
site number,R18,South Canal at Val Vista WTP
site number,R19,Val Vista WTP treated water
site number,R20,Verde River at Tangle
site number,R21,AZ Canal - Central Avenue
site number,R22,AZ Canal at 56th
site number,R25,Verde River at Beeline
site number,R2A,Lake Pleasant integrated sample
site number,R2B,Lake Pleasant integrated sample
site number,R3,Waddell Canal
site number,R4,Cap Canal at 7th St.
site number,R5,Verde River btwn Horseshoe and Bartlett
site number,R6A,Bartlett Reservoir near outlet
site number,R6B,Bartlett Reservoir near outlet
site number,R7,Verde River below Bartlett Reservoir
site number,R8,Salt River inlet to Saguaro Lake
site number,R9A,Saguaro Lake near inlet
site number,R9B,Saguaro Lake near inlet
site number,SOCA,South Canal below CAP Cross-connect
cluster,az canal,Arizona canal
cluster,cap,Central Arizona Project canal
cluster,reservoir,metadata_not_provided
cluster,salt,Salt River
cluster,srp,Salt River Project canal
cluster,tempe,"Tempe, AZ area canal"
cluster,verde,Verde River
site acronym,az canal- head of the consolidated canal,Head of the Consolidated canal
site acronym,az canal - 56th st,AZ Canal at 56th Street
site acronym,az canal - cent,AZ Canal at Central Avenue
site acronym,az canal - middle of the consolidated canal,Middle of the Consolidated canal
site acronym,az canal - pima,AZ Canal at Pima Rd
site acronym,az canal - verde river @ beeline,verde river at beeline highway
site acronym,az canal @ deer valley,AZ Canal - Inlet to Deer Valley WTP
site acronym,az canal @ squaw peak,AZ Canal - Inlet to Squaw Peak WTP
site acronym,az canal blw cap,AZ Canal below CAP Cross-connect
site acronym,az canal inflow,AZ Canal above CAP Cross-connect
site acronym,bartlett-epi,Bartlett Reservoir near outlet
site acronym,bartlett-hypo,Bartlett Reservoir near outlet
site acronym,cap-siphon,metadata_not_provided
site acronym,cap @ 7th st,Cap Canal at 7th St.
site acronym,cap @ x con,CAP Canal at Cross-connect
site acronym,deer valley-treated,Deer Valley WTP treated water
site acronym,lake havasu,Lake Havasu
site acronym,pleasant-epi,Lake Pleasant integrated sample
site acronym,pleasant-hypo,Lake Pleasant integrated sample
site acronym,s canal @ val vista,South Canal at Val Vista WTP
site acronym,saguaro-epi,Saguaro Lake Epilimnion
site acronym,saguaro-hypo,Saguaro Lake Hypolimnion
site acronym,salt abv saguaro,Salt River inlet to Saguaro Lake
site acronym,salt blw saguaro,Salt River below Saguaro (Blue Point Bridge)
site acronym,south tempe canals - below CAP Cross-connect,South Canal below CAP Cross-connect
site acronym,south tempe canals - head of the tempe canal,Head of the Tempe Canal
site acronym,squaw peak-treated,Squaw Peak WTP treated water
site acronym,val vista-treated,Val Vista WTP treated water
site acronym,verde abv bartlett,Verde River btwn Horseshoe and Bartlett
site acronym,verde abv horseshoe,Verde River at Tangle
site acronym,verde blw barlett,Verde River below Bartlett Reservoir
site acronym,waddell canal,Waddell Canal
